Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-12-31 05:31:30,53892,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-12-31 05:31:30,53892,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-30 14:11:32,53883,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-12-29 07:41:38,53858,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-12-29 07:41:38,53858,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-29 01:52:21,53856,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-26 00:38:37,53806,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-25 06:43:59,53804,S2R00247,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2021-12-25 00:46:31,53799,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-24 23:12:57,53799,S2R00247,Parcel do Manoel Luis
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-24 20:15:37,53799,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-24 16:25:49,53795,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,336:2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",2021-12-24 08:42:03,53795,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-24 06:40:24,53793,S2R00247,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2021-12-23 07:31:12,53786,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-23 07:18:41,53786,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,336:2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",2021-12-23 07:17:42,53786,S2R00247,Parcel do Manoel Luis
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2021-12-21 04:18:43,53759,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,289:3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,2021-12-08 11:25:35,53690,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,336:2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",2021-12-08 10:00:39,53690,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-12-06 14:02:10,53690,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",2021-12-06 14:02:10,53690,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",2021-11-30 19:28:24,53614,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-11-30 19:28:24,53614,S2R00247,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2021-11-30 10:44:51,53565,S2R00247,Parcel do Manoel Luis
Low,Diagnostic,336:2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",2021-11-28 11:18:35,53609,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-11-21 08:22:35,53574,S2R00247,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-11-21 07:19:36,53573,S2R00247,Parcel do Manoel Luis
