Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-26 12:51:50,38045,TTG00233,Macaé
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-25 20:56:23,38029,TTG00233,Macaé
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-25 04:07:44,38012,TTG00233,Macaé
Low,Event (J1939),102:4,Not Available,Engine Intake Manifold #1 Pressure:Voltage Below Normal,2022-04-23 05:45:52,37966,TTG00233,Macaé
Low,Event (J1939),91:13,Not Available,Accelerator Pedal Position #1:Out of Calibration,2022-04-23 05:45:52,37966,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-23 04:33:59,37966,TTG00233,Macaé
Low,Event (J1939),620:4,Not Available,5 Volts DC Supply:Voltage Below Normal,2022-04-17 09:37:21,37827,TTG00233,Macaé
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 09:55:15,37779,TTG00233,Macaé
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 03:25:09,37773,TTG00233,Macaé
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 00:17:30,37770,TTG00233,Macaé
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-14 18:02:38,37763,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-14 11:53:15,37761,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-13 14:16:48,37760,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-11 01:23:38,37736,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-10 19:25:26,37733,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-09 15:07:47,37718,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-09 08:29:35,37714,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-08 20:02:53,37704,TTG00233,Macaé
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-08 08:16:34,37692,TTG00233,Macaé
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-07 20:55:30,37680,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-05 08:26:03,37668,TTG00233,Macaé
