Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,198:3,Engine,Low Fuel Pressure,1,PAG00133,Parcel do Manoel Luis
High,Event,225:3,Engine,Engine Overcrank,4,PAG00133,Parcel do Manoel Luis
Low,Diagnostic,101:3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1,PAG00133,Parcel do Manoel Luis
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,44,PAG00133,Parcel do Manoel Luis
Low,Diagnostic,289:3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1,PAG00133,Parcel do Manoel Luis
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,8,PAG00133,Parcel do Manoel Luis
Low,Event,101:1,Engine,High Crankcase Pressure Warning,1,PAG00133,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,1,PAG00133,Parcel do Manoel Luis
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,7,PAG00133,Parcel do Manoel Luis
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,6,PAG00133,Parcel do Manoel Luis
Medium,Diagnostic,10:5,Engine,Cylinder #10 Injector:Current Below Normal,1,PAG00133,Parcel do Manoel Luis
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,25,PAG00133,Parcel do Manoel Luis
