Timestamp,ABA00243_Fuel_Rate,ABA00133_Fuel_Rate,ABA00223_Fuel_Rate,ABA00247_Fuel_Rate,Site
2021-07-01,,,,,Lewis Hamilton
2021-07-02,,,,,Lewis Hamilton
2021-07-03,,,,,Lewis Hamilton
2021-07-04,,,,,Lewis Hamilton
2021-07-05,,,,,Lewis Hamilton
2021-07-06,,,,,Lewis Hamilton
2021-07-07,,,,,Lewis Hamilton
2021-07-08,,,,,Lewis Hamilton
2021-07-09,,,,,Lewis Hamilton
2021-07-10,,,,,Lewis Hamilton
2021-07-11,,,,,Lewis Hamilton
2021-07-12,,,,,Lewis Hamilton
2021-07-13,,,,,Lewis Hamilton
2021-07-14,,,,,Lewis Hamilton
2021-07-15,,,,,Lewis Hamilton
2021-07-16,,,,,Lewis Hamilton
2021-07-17,,,,,Lewis Hamilton
2021-07-18,,,,,Lewis Hamilton
2021-07-19,,,,,Lewis Hamilton
2021-07-20,,,,,Lewis Hamilton
2021-07-21,,,,,Lewis Hamilton
2021-07-22,,,,,Lewis Hamilton
2021-07-23,,,,,Lewis Hamilton
2021-07-24,,,,,Lewis Hamilton
2021-07-25,,,,,Lewis Hamilton
2021-07-26,,,,,Lewis Hamilton
2021-07-27,,,,,Lewis Hamilton
2021-07-28,,,,,Lewis Hamilton
2021-07-29,,,,,Lewis Hamilton
2021-07-30,,,,,Lewis Hamilton
2021-07-31,,,,,Lewis Hamilton
2021-08-01,,,,,Lewis Hamilton
2021-08-02,,,,,Lewis Hamilton
2021-08-03,,,,,Lewis Hamilton
2021-08-04,,,,,Lewis Hamilton
2021-08-05,,,,,Lewis Hamilton
2021-08-06,,,,,Lewis Hamilton
2021-08-07,,,,,Lewis Hamilton
2021-08-08,,,,,Lewis Hamilton
2021-08-09,,,,,Lewis Hamilton
2021-08-10,,,,,Lewis Hamilton
2021-08-11,,,,,Lewis Hamilton
2021-08-12,,,,,Lewis Hamilton
2021-08-13,,,,,Lewis Hamilton
2021-08-14,,,,37.0,Lewis Hamilton
2021-08-15,,,,61.0,Lewis Hamilton
2021-08-16,,,,64.0,Lewis Hamilton
2021-08-17,,,,69.0,Lewis Hamilton
2021-08-18,,,,119.0,Lewis Hamilton
2021-08-19,,,,59.0,Lewis Hamilton
