Timestamp,TTG00234_Fuel_Rate,TTG00231_Fuel_Rate,Site
2021-07-26,,43.0,Martin Vaz
2021-07-27,135.0,63.0,Martin Vaz
2021-07-28,130.0,45.0,Martin Vaz
2021-07-29,117.0,42.0,Martin Vaz
2021-07-30,99.0,41.0,Martin Vaz
2021-07-31,94.0,79.0,Martin Vaz
2021-08-01,99.0,76.0,Martin Vaz
2021-08-02,82.0,105.0,Martin Vaz
2021-08-03,105.0,120.0,Martin Vaz
2021-08-04,100.0,,Martin Vaz
2021-08-05,87.0,91.0,Martin Vaz
2021-08-06,,98.0,Martin Vaz
2021-08-07,50.0,132.0,Martin Vaz
2021-08-08,99.0,142.0,Martin Vaz
2021-08-09,,,Martin Vaz
2021-08-10,158.0,88.0,Martin Vaz
2021-08-11,,,Martin Vaz
2021-08-12,,,Martin Vaz
2021-08-13,142.0,71.0,Martin Vaz
2021-08-14,127.0,61.0,Martin Vaz
2021-08-15,82.0,,Martin Vaz
2021-08-16,96.0,89.0,Martin Vaz
2021-08-17,100.0,,Martin Vaz
2021-08-18,71.0,129.0,Martin Vaz
2021-08-19,43.0,164.0,Martin Vaz
2021-08-20,160.0,54.0,Martin Vaz
2021-08-21,155.0,60.0,Martin Vaz
2021-08-22,161.0,69.0,Martin Vaz
2021-08-23,145.0,79.0,Martin Vaz
2021-08-24,128.0,103.0,Martin Vaz
2021-08-25,,,Martin Vaz
2021-08-26,,,Martin Vaz
2021-08-27,138.0,70.0,Martin Vaz
2021-08-28,124.0,64.0,Martin Vaz
2021-08-29,68.0,78.0,Martin Vaz
2021-08-30,54.0,110.0,Martin Vaz
2021-08-31,75.0,129.0,Martin Vaz
2021-09-01,70.0,119.0,Martin Vaz
2021-09-02,,109.0,Martin Vaz
2021-09-03,82.0,104.0,Martin Vaz
2021-09-04,92.0,100.0,Martin Vaz
2021-09-05,87.0,96.0,Martin Vaz
2021-09-06,,97.0,Martin Vaz
2021-09-07,127.0,68.0,Martin Vaz
2021-09-08,132.0,63.0,Martin Vaz
2021-09-09,,,Martin Vaz
2021-09-10,137.0,76.0,Martin Vaz
2021-09-11,146.0,77.0,Martin Vaz
2021-09-12,,99.0,Martin Vaz
2021-09-13,41.0,120.0,Martin Vaz
2021-09-14,41.0,105.0,Martin Vaz
2021-09-15,41.0,107.0,Martin Vaz
2021-09-16,74.0,104.0,Martin Vaz
2021-09-17,102.0,104.0,Martin Vaz
2021-09-18,106.0,104.0,Martin Vaz
2021-09-19,110.0,104.0,Martin Vaz
2021-09-20,147.0,104.0,Martin Vaz
2021-09-21,109.0,107.0,Martin Vaz
2021-09-22,,,Martin Vaz
2021-09-23,,,Martin Vaz
2021-09-24,65.0,127.0,Martin Vaz
2021-09-25,67.0,138.0,Martin Vaz
2021-09-26,,107.0,Martin Vaz
2021-09-27,100.0,109.0,Martin Vaz
2021-09-28,,101.0,Martin Vaz
2021-09-29,,92.0,Martin Vaz
2021-09-30,41.0,107.0,Martin Vaz
2021-10-01,42.0,128.0,Martin Vaz
2021-10-02,59.0,119.0,Martin Vaz
2021-10-03,92.0,106.0,Martin Vaz
2021-10-04,127.0,110.0,Martin Vaz
2021-10-05,117.0,87.0,Martin Vaz
2021-10-06,,,Martin Vaz
