Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.37,10.280614446707196,ABB00239,SS Moretti
10-20%,1.8499999999999999,51.40307223353598,ABB00239,SS Moretti
20-30%,58.120000000000005,1614.8900314665466,ABB00239,SS Moretti
30-40%,23.150000000000002,643.2330390304638,ABB00239,SS Moretti
40-50%,11.75,326.4789722940799,ABB00239,SS Moretti
50-60%,4.18,116.14315780334074,ABB00239,SS Moretti
60-70%,0.5599999999999999,15.55984889231359,ABB00239,SS Moretti
70-80%,0.0,0.0,ABB00239,SS Moretti
80-90%,0.02,0.5557088890111997,ABB00239,SS Moretti
90-100%,0.0,0.0,ABB00239,SS Moretti
100-110%,0.0,0.0,ABB00239,SS Moretti
