Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,2.26,9.311207448959989,ABC00546,Hendrix
10-20%,5.99,24.67881974303997,ABC00546,Hendrix
20-30%,29.43,121.25169700127987,ABC00546,Hendrix
30-40%,11.68,48.121638497279946,ABC00546,Hendrix
40-50%,15.8,65.09605207679994,ABC00546,Hendrix
50-60%,33.160000000000004,136.61930929535984,ABC00546,Hendrix
60-70%,0.26,1.0712008569599987,ABC00546,Hendrix
70-80%,0.0,0.0,ABC00546,Hendrix
80-90%,0.04,0.16480013183999984,ABC00546,Hendrix
90-100%,1.39,5.7268045814399935,ABC00546,Hendrix
100-110%,0.0,0.0,ABC00546,Hendrix
