Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,3.7900000000000005,65.9839527871199,S2R00247,Parcel do Manoel Luis
10-20%,69.69,1213.3038706423179,S2R00247,Parcel do Manoel Luis
20-30%,9.139999999999999,159.1275273019197,S2R00247,Parcel do Manoel Luis
30-40%,6.41,111.59818927847982,S2R00247,Parcel do Manoel Luis
40-50%,10.08,175.4929403942397,S2R00247,Parcel do Manoel Luis
50-60%,0.7799999999999999,13.579810863839976,S2R00247,Parcel do Manoel Luis
60-70%,0.06,1.044600835679998,S2R00247,Parcel do Manoel Luis
70-80%,0.06,1.044600835679998,S2R00247,Parcel do Manoel Luis
80-90%,0.0,0.0,S2R00247,Parcel do Manoel Luis
90-100%,0.0,0.0,S2R00247,Parcel do Manoel Luis
100-110%,0.0,0.0,S2R00247,Parcel do Manoel Luis
