Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.0,0.0,SLM00576,Fernando de Noronha
10-20%,0.67,24.917319933839984,SLM00576,Fernando de Noronha
20-30%,55.08,2048.4268387401585,SLM00576,Fernando de Noronha
30-40%,27.37,1017.8911143122393,SLM00576,Fernando de Noronha
40-50%,12.889999999999999,479.37948350327963,SLM00576,Fernando de Noronha
50-60%,3.4299999999999997,127.5618020493599,SLM00576,Fernando de Noronha
60-70%,0.54,20.082616066079986,SLM00576,Fernando de Noronha
70-80%,0.03,1.1157008925599992,SLM00576,Fernando de Noronha
80-90%,0.0,0.0,SLM00576,Fernando de Noronha
90-100%,0.0,0.0,SLM00576,Fernando de Noronha
100-110%,0.0,0.0,SLM00576,Fernando de Noronha
