Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,22.2,1208.819580388224,TTG00235,Ilha da Trindade
10-20%,17.97,978.4904441250625,TTG00235,Ilha da Trindade
20-30%,12.1,658.8611226440321,TTG00235,Ilha da Trindade
30-40%,9.139999999999999,497.68517859226887,TTG00235,Ilha da Trindade
40-50%,15.229999999999999,829.2937932122818,TTG00235,Ilha da Trindade
50-60%,15.78,859.2420260597377,TTG00235,Ilha da Trindade
60-70%,5.1,277.70179549459203,TTG00235,Ilha da Trindade
70-80%,1.49,81.13248535038082,TTG00235,Ilha da Trindade
80-90%,0.09,4.900619920492801,TTG00235,Ilha da Trindade
90-100%,0.89,48.46168588042881,TTG00235,Ilha da Trindade
100-110%,0.0,0.0,TTG00235,Ilha da Trindade
