RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00233,Marica
100-200,0.0,0.0,ABB00233,Marica
200-300,0.04,0.4723097080000007,ABB00233,Marica
300-400,0.0,0.0,ABB00233,Marica
400-500,0.0,0.0,ABB00233,Marica
500-600,0.0,0.0,ABB00233,Marica
600-700,0.76,8.973884452000014,ABB00233,Marica
700-800,0.0,0.0,ABB00233,Marica
800-900,0.13,1.5350065510000022,ABB00233,Marica
900-1000,0.0,0.0,ABB00233,Marica
1000-1100,0.0,0.0,ABB00233,Marica
1100-1200,0.0,0.0,ABB00233,Marica
1200-1300,0.04,0.4723097080000007,ABB00233,Marica
1300-1400,0.0,0.0,ABB00233,Marica
1400-1500,0.0,0.0,ABB00233,Marica
1500-1600,0.0,0.0,ABB00233,Marica
1600-1700,0.0,0.0,ABB00233,Marica
1700-1800,53.790000000000006,635.1384798330009,ABB00233,Marica
1800-1900,45.24,534.1822797480008,ABB00233,Marica
