RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,PAG00133,Parcel do Manoel Luis
100-200,0.0,0.0,PAG00133,Parcel do Manoel Luis
200-300,0.0,0.0,PAG00133,Parcel do Manoel Luis
300-400,0.0,0.0,PAG00133,Parcel do Manoel Luis
400-500,0.0,0.0,PAG00133,Parcel do Manoel Luis
500-600,0.0,0.0,PAG00133,Parcel do Manoel Luis
600-700,0.0,0.0,PAG00133,Parcel do Manoel Luis
700-800,0.0,0.0,PAG00133,Parcel do Manoel Luis
800-900,0.16,3.678402942719998,PAG00133,Parcel do Manoel Luis
900-1000,0.05,1.1495009195999992,PAG00133,Parcel do Manoel Luis
1000-1100,0.0,0.0,PAG00133,Parcel do Manoel Luis
1100-1200,0.0,0.0,PAG00133,Parcel do Manoel Luis
1200-1300,0.0,0.0,PAG00133,Parcel do Manoel Luis
1300-1400,0.0,0.0,PAG00133,Parcel do Manoel Luis
1400-1500,0.0,0.0,PAG00133,Parcel do Manoel Luis
1500-1600,0.0,0.0,PAG00133,Parcel do Manoel Luis
1600-1700,0.05,1.1495009195999992,PAG00133,Parcel do Manoel Luis
1700-1800,46.71,1073.8637590903193,PAG00133,Parcel do Manoel Luis
1800-1900,53.02,1218.9307751438394,PAG00133,Parcel do Manoel Luis
