RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,S2R00223,Parcel do Manoel Luis
100-200,0.0,0.0,S2R00223,Parcel do Manoel Luis
200-300,0.0,0.0,S2R00223,Parcel do Manoel Luis
300-400,0.0,0.0,S2R00223,Parcel do Manoel Luis
400-500,0.0,0.0,S2R00223,Parcel do Manoel Luis
500-600,0.0,0.0,S2R00223,Parcel do Manoel Luis
600-700,0.0,0.0,S2R00223,Parcel do Manoel Luis
700-800,0.0,0.0,S2R00223,Parcel do Manoel Luis
800-900,0.0,0.0,S2R00223,Parcel do Manoel Luis
900-1000,0.0,0.0,S2R00223,Parcel do Manoel Luis
1000-1100,0.0,0.0,S2R00223,Parcel do Manoel Luis
1100-1200,0.0,0.0,S2R00223,Parcel do Manoel Luis
1200-1300,0.0,0.0,S2R00223,Parcel do Manoel Luis
1300-1400,0.0,0.0,S2R00223,Parcel do Manoel Luis
1400-1500,0.0,0.0,S2R00223,Parcel do Manoel Luis
1500-1600,0.0,0.0,S2R00223,Parcel do Manoel Luis
1600-1700,0.0,0.0,S2R00223,Parcel do Manoel Luis
1700-1800,48.82,1355.2442841945606,S2R00223,Parcel do Manoel Luis
1800-1900,51.18000000000001,1420.7579366054406,S2R00223,Parcel do Manoel Luis
