Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Medium,Diagnostic,91:8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",2022-06-16 16:01:31,5385,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-07 06:01:34,5352,SLM00546,Jim O'Brien
Medium,Diagnostic,273:3,2,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,2022-05-07 15:14:42,5292,SLM00546,Jim O'Brien
Low,Diagnostic,175:3,2,Engine Oil Temperature Sensor:Voltage Above Normal,2022-05-07 15:10:05,5292,SLM00546,Jim O'Brien
Low,Diagnostic,2739:3,2,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,2022-05-07 15:09:34,5292,SLM00546,Jim O'Brien
Low,Diagnostic,828:8,2,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-07 15:08:38,5292,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-07-02 00:19:05,35693,SLM00547,Jim O'Brien
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-19 16:09:14,34749,SLM00547,Jim O'Brien
Low,Diagnostic,94:3,Engine,Fuel Delivery Pressure Sensor:Voltage Above Normal,2022-06-19 07:08:34,24772,SLM00548,Jim O'Brien
Low,Diagnostic,94:3,Engine,Fuel Delivery Pressure Sensor:Voltage Above Normal,2022-06-15 15:19:49,24751,SLM00548,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-15 12:01:23,24750,SLM00548,Jim O'Brien
Medium,Diagnostic,590:9,2,Engine Control Module:Abnormal Update Rate,2022-05-25 13:50:41,24708,SLM00548,Jim O'Brien
Low,Diagnostic,94:3,1,Fuel Delivery Pressure Sensor:Voltage Above Normal,2022-05-21 17:09:01,24706,SLM00548,Jim O'Brien
Medium,Diagnostic,590:9,2,Engine Control Module:Abnormal Update Rate,2022-05-21 06:25:59,24705,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-21 06:23:22,24706,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-11 00:04:29,24593,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-10 10:30:27,24587,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-07 00:20:59,24585,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-05 16:58:28,24578,SLM00548,Jim O'Brien
Low,Event,279:1,1,High Aftercooler Temperature Warning,2022-05-05 10:25:36,24571,SLM00548,Jim O'Brien
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-05 04:21:39,24571,SLM00548,Jim O'Brien
Low,Diagnostic,828:8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-07-20 11:24:58,9132,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-07-20 11:24:58,9132,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,Engine,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-07-20 11:24:54,9132,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-07-20 10:10:06,9132,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,2,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-30 12:24:00,9122,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,2,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-30 12:24:00,9122,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,2,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-05-30 12:23:57,9122,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-30 09:30:09,9122,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,2,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-05-27 16:43:47,9075,SLM00574,Fernando de Noronha
Low,Diagnostic,542:3,2,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,2022-05-27 16:43:47,9073,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,2,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-26 15:45:41,9075,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,2,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-26 15:45:36,9075,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-26 14:23:43,9075,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-25 23:37:01,9075,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-25 22:16:10,9074,SLM00574,Fernando de Noronha
Low,Diagnostic,542:3,2,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,2022-05-25 18:23:53,9073,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-25 15:27:26,9071,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-23 03:37:59,9068,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-23 01:03:16,9067,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-22 23:52:49,9066,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-20 08:13:21,9063,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,2,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-05-20 00:13:38,9057,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,2,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-19 23:58:10,9057,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,2,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-19 23:58:09,9057,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-19 23:26:41,9057,SLM00574,Fernando de Noronha
Low,Event,100:1,1,Low Engine Oil Pressure Warning,2022-05-19 23:21:47,9057,SLM00574,Fernando de Noronha
Low,Event,99:1,1,Engine Oil Filter Restriction Warning,2022-05-19 23:04:45,9057,SLM00574,Fernando de Noronha
Low,Diagnostic,101:3,2,Crankcase Air Pressure Sensor:Voltage Above Normal,2022-05-19 15:09:20,8992,SLM00574,Fernando de Noronha
Medium,Diagnostic,168:1,2,Electrical System Voltage:Low,2022-05-19 15:09:20,9023,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,2,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-02 14:18:21,9051,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,2,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-05-02 14:18:20,9051,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,2,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-05-02 14:18:17,9051,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-07-20 08:49:32,27164,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-07-02 16:12:29,26871,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-07-02 15:44:33,26872,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-07-01 15:44:31,26863,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-30 14:58:50,26853,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-22 16:20:33,26732,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-19 16:24:06,26676,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-17 20:16:17,26675,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-16 14:08:40,26655,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-15 23:52:20,26652,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-14 15:30:04,26649,SLM00575,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-13 17:56:35,26627,SLM00575,Fernando de Noronha
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2022-06-13 17:53:19,26627,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-13 14:01:01,26626,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-27 10:23:41,26426,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-17 08:06:22,26188,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-16 08:27:11,26173,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-07 19:35:44,26023,SLM00575,Fernando de Noronha
Medium,Diagnostic,590:9,1,Engine Control Module:Abnormal Update Rate,2022-05-03 15:08:47,25968,SLM00575,Fernando de Noronha
Medium,Diagnostic,1:5,Engine,Cylinder #1 Injector:Current Below Normal,2022-06-20 03:46:33,28978,SLM00576,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-17 08:18:37,28914,SLM00576,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-14 14:33:16,28848,SLM00576,Fernando de Noronha
Medium,Diagnostic,8:5,Engine,Cylinder #8 Injector:Current Below Normal,2022-06-13 17:29:15,28849,SLM00576,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-11 14:40:19,28801,SLM00576,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-06-09 13:42:23,28789,SLM00576,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-08 13:45:58,28789,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 13:39:52,28789,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 11:04:04,28786,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 10:00:47,28785,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 08:59:57,28784,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 07:59:10,28783,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-08 06:59:10,28782,SLM00576,Fernando de Noronha
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-06-07 08:25:03,28781,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-07 08:24:03,28781,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-07 06:05:24,28779,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-07 03:33:19,28776,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-07 02:26:56,28775,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-07 00:58:58,28774,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 21:36:57,28770,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 20:36:33,28769,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 18:51:36,28767,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 12:39:56,28761,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 11:35:49,28760,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 08:42:40,28757,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 06:38:40,28755,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 05:21:09,28754,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 03:49:13,28752,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 02:26:50,28751,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-06 01:25:22,28750,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 21:53:32,28746,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 20:38:19,28745,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 19:08:06,28744,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 16:22:47,28741,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 15:21:18,28740,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 13:40:00,28738,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 12:40:17,28737,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 11:17:00,28736,SLM00576,Fernando de Noronha
Medium,Diagnostic,3:5,Engine,Cylinder #3 Injector:Current Below Normal,2022-06-05 10:15:11,28735,SLM00576,Fernando de Noronha
