Timestamp,EXH_L,Engine Power Derate [%],Oil_Temp,Boost,Inlet Air Temperature [Deg. C],Throttle Position [%],Crank_Press,Right Turbo Inlet Pressure (absolute) [kPa],Fuel_Press,Oil_Press,Fuel_Rate,Total_Fuel,Fuel Position,FRC Fuel Limit,Batt,Load,Coolant_Temp,Left Air Filter Restriction [kPa],Aftercooler Temperature [Deg. C],Coolant Level,Peak Air Filter Restriction [kPa],Oil Filter Differential Pressure [kPa],Left Turbo Inlet Pressure (absolute) [kPa],Right Air Filter Restriction [kPa],Fuel Filter Differential Pressure [kPa],RPM,Engine Acceleration Rate [REUSE],EXH_R,Turbo Outlet Pressure (absolute) [kPa],Longitude,Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Latitude,Cumulative Idle Time [Hrs],Cumulative Max Fuel Usage [L],Heading [Degrees],SMH,Speed [km/h],DIAG_STATS,Run Status,EVENT_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-07-01,166.0,,35.0,5.0,6.00000008940697,76.4000011384487,,101.5,19.5,657.5,,644884.988125,,400.000005960464,26.5,9.0,35.0,,27.0,,,1.0,101.0,,17.5,1801.0,250.0,173.0,104.5,,,,,,,,4879.0039032,,,,,,1632.0,146.88,,42.108124999911524,7.0,ABC00546,Hendrix
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-03,377.6666666666667,,89.16666666666667,36.666666666666664,1.8166666937371094,80.20000119507313,,101.0,19.5,459.0833333333333,,645305.6751041667,,400.000005960464,26.5,35.666666666666664,35.0,,25.166666666666668,,,1.0,100.91666666666667,,17.5,1804.1666666666667,250.0,380.6666666666667,141.25,,,,,,,,4882.5872394,,,,,0.6500005200000487,1632.0,582.08,,133.97322916668296,3.0,ABC00546,Hendrix
2021-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-15,309.6666666666667,,90.0,16.666666666666668,1.8666666944821666,78.2666678329309,,100.0,19.5,462.1666666666667,,645829.1879166666,,400.000005960464,26.5,26.666666666666668,35.0,,25.0,,,1.0,100.0,,17.5,1801.6666666666667,250.0,310.0,118.33333333333333,,,,,,,,4887.50391,,,,,0.7500006000000212,1632.0,435.2,,78.06562499996896,0.3333333333333333,ABC00546,Hendrix
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-21,212.0,,70.0,8.0,-2.00000002980232,76.4000011384487,,101.5,19.5,510.5,,645965.1325,,400.000005960464,26.5,16.0,35.0,,24.0,,,1.0,101.0,,17.5,1795.5,250.0,201.0,106.5,,,,,,,,4889.0039112,,,,,,1632.0,261.12,,17.505625000107102,11.0,ABC00546,Hendrix
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-26,426.75,,87.5,60.875,3.5000000521540624,79.90000119060278,-3276.80004882813,100.5,,456.625,,646296.43828125,,,,39.5,,,25.0,,,,100.5,,,1801.125,250.0,433.5,163.625,,,,,,,,4890.6705792,,,,,0.6666671999998925,1632.0,644.64,,182.74453124997672,8.75,ABC00546,Hendrix
2021-07-27,215.0,,70.0,9.0,5.90000008791685,76.4000011384487,-3276.80004882813,100.5,,501.5,,646713.61625,,,,16.0,,,25.0,,,,100.0,,,1795.5,250.0,206.0,104.5,,,,,,,,4893.5039148,,,,,0.5000004000003173,1632.0,261.12,,81.85062500007916,9.0,ABC00546,Hendrix
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-12,223.0,,40.0,7.5,7.00000010430813,76.0000011324883,-3276.80004882813,101.0,,585.5,,646795.466875,,,,9.0,,,25.0,,,,100.5,,,1801.0,250.0,215.0,104.0,,,,,,,,4894.0039152,,,,,,1632.0,146.88,,94.625,8.0,ABC00546,Hendrix
2021-08-13,288.0,,90.0,15.333333333333334,8.300000123679636,77.2000011503696,-3276.80004882813,101.16666666666667,,460.6666666666667,,646987.3979166667,,,,26.666666666666668,,,24.0,,,,101.16666666666667,,,1794.6666666666667,250.0,289.3333333333333,117.33333333333333,,,,,,,,4896.0039168,,,,,1.0000008000000282,1632.0,435.2,,109.44958333333489,1.3333333333333333,ABC00546,Hendrix
2021-08-14,293.2,,90.0,17.05,8.230000122636557,77.4400011539459,-3276.80004882813,101.0,,458.6,,647667.1050625,,,,27.0,,,24.0,,,,101.0,,,1796.4,250.0,294.6,119.15,,,,,,,,4903.0039224,,,,,0.9090916363636097,1632.0,440.64,,90.31956249999348,2.2,ABC00546,Hendrix
2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-24,349.0,,83.125,27.4375,13.875000206753594,79.20000118017197,-3276.80004882813,100.0,,475.125,,648586.5407031251,,,,31.375,,,25.0,,,,99.9375,,,1802.375,250.0,345.125,125.1875,,,,,,,,4911.5039292,,,,,0.7777783999999883,1632.0,512.04,,135.66859375000058,4.875,ABC00546,Hendrix
2021-08-25,310.1818181818182,,90.0,19.454545454545453,24.418182182041072,78.618182989684,-3276.8000488281305,100.0,,453.09090909090907,,649722.8202840909,,,,26.818181818181817,,,24.90909090909091,,,,100.0,,,1802.2272727272727,250.0,310.6363636363636,117.9090909090909,,,,,,,,4920.5039364,,,,,0.9166674000000719,1632.0,437.67272727272723,,93.89380681818479,2.272727272727273,ABC00546,Hendrix
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-02,198.0,,40.0,1.5,23.0000003427267,76.4000011384487,-3276.80004882813,101.0,,629.0,,650239.816875,,,,9.0,,,25.0,,,,101.0,,,1801.0,250.0,217.0,106.5,,,,,,,,4926.0039408,,,,,,1632.0,146.88,,92.7324999999255,19.0,ABC00546,Hendrix
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-09,258.0,,90.0,12.666666666666666,9.000000134110453,78.66666783889133,-3276.80004882813,100.0,,461.0,,650421.97,,,,22.333333333333332,,,25.0,,,,100.0,,,1806.1666666666667,250.0,259.6666666666667,113.0,,,,,,,,4927.20394176,,,,,0.6000004800001383,1632.0,364.48,,108.03020833335661,1.6666666666666667,ABC00546,Hendrix
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC00546,Hendrix
