Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Event,101:1,Engine,High Crankcase Pressure Warning,2021-12-25 01:34:50,48051,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-12-19 05:01:33,47919,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-19 05:01:13,47919,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-12-18 12:23:07,47903,ABA00133,Lewis Hamilton
High,Event,225:3,Engine,Engine Overcrank,2021-12-18 12:21:21,47903,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-12-12 16:58:26,47865,ABA00133,Lewis Hamilton
High,Event,225:3,Engine,Engine Overcrank,2021-12-12 16:50:44,47865,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-11 10:02:01,47864,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-12-08 10:51:05,47863,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-23 14:35:04,47828,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-22 09:08:02,47824,ABA00133,Lewis Hamilton
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,2021-11-21 09:30:22,47801,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-20 16:46:20,47784,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-16 00:41:47,47695,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-15 14:33:52,47688,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-15 10:43:37,47688,ABA00133,Lewis Hamilton
Low,Diagnostic,101:3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,2021-11-15 10:25:35,47688,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-15 00:43:44,47682,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-14 18:12:25,47679,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-14 05:48:57,47670,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-13 14:00:17,47668,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-13 05:38:48,47666,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-13 04:12:37,47665,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-13 02:51:54,47663,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-12 21:10:19,47661,ABA00133,Lewis Hamilton
High,Event,225:3,Engine,Engine Overcrank,2021-11-12 20:32:45,47661,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-12 09:13:28,47661,ABA00133,Lewis Hamilton
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2021-11-11 21:36:03,47654,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-11 21:24:30,47654,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-11 12:50:18,47649,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-11 06:42:41,47646,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-11 00:43:21,47644,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-10 16:47:27,47642,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-10 06:14:06,47632,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-09 21:09:16,47631,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-09 12:38:07,47628,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-09 06:18:23,47624,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-09 00:06:43,47623,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-06 16:12:41,47571,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-06 12:21:20,47571,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-06 07:34:54,47569,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-06 07:06:41,47569,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-06 05:32:04,47569,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-05 12:34:01,47552,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-05 09:28:05,47552,ABA00133,Lewis Hamilton
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,2021-11-05 05:00:08,47548,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-04 16:23:05,47535,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-04 14:25:41,47535,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-04 11:17:59,47532,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-04 06:42:26,47527,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-04 04:36:23,47527,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-04 00:53:36,47524,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-03 21:04:33,47523,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-03 14:06:58,47517,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-03 11:53:08,47515,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-03 09:20:35,47515,ABA00133,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-11-03 08:24:29,47514,ABA00133,Lewis Hamilton
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-11-02 21:29:49,47513,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-01 08:28:26,47494,ABA00133,Lewis Hamilton
High,Event,225:3,Engine,Engine Overcrank,2021-10-29 18:34:05,47478,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-29 16:18:23,47478,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-27 04:51:05,47430,ABA00133,Lewis Hamilton
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,2021-10-26 17:21:39,47418,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-25 06:34:54,47394,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-10-23 11:43:25,47361,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-10-23 03:56:31,47356,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-10-21 03:09:37,47330,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-10-20 11:04:17,47315,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-18 22:48:03,47297,ABA00133,Lewis Hamilton
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-10-18 14:02:35,47295,ABA00133,Lewis Hamilton
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-15 11:01:08,47257,ABA00133,Lewis Hamilton
