Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-04-26 15:39:08,25873,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-06 16:42:22,25604,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-04 19:01:18,25572,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-22 08:51:01,25367,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-15 20:16:49,25278,ABC00575,Ilhas Maldivas
Low,Diagnostic,289:2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",2022-03-11 17:02:52,25191,ABC00575,Ilhas Maldivas
Low,Diagnostic,94:2,Engine,"Fuel Delivery Pressure Sensor:Erratic, Intermittent, or Incorrect",2022-03-11 17:02:52,25191,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-11 09:01:00,25191,ABC00575,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2022-03-11 07:11:31,25189,ABC00575,Ilhas Maldivas
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,2022-03-11 07:11:31,25189,ABC00575,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2022-03-11 04:10:53,25186,ABC00575,Ilhas Maldivas
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,2022-03-11 04:10:52,25186,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-08 08:51:44,25121,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-20 16:28:17,24827,ABC00575,Ilhas Maldivas
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-02-20 16:23:21,24827,ABC00575,Ilhas Maldivas
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-02-19 02:09:27,24789,ABC00575,Ilhas Maldivas
Medium,Diagnostic,168:1,Engine,Electrical System Voltage:Low,2022-02-19 01:28:23,24788,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-19 01:13:49,24788,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-10 07:46:45,24626,ABC00575,Ilhas Maldivas
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-02-10 02:14:08,24626,ABC00575,Ilhas Maldivas
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-02-05 00:11:43,24563,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-04 23:56:08,24617,ABC00575,Ilhas Maldivas
High,Event,225:3,Engine,Engine Overcrank,2022-02-04 23:50:27,24617,ABC00575,Ilhas Maldivas
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,2022-02-04 23:48:38,24617,ABC00575,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2022-02-04 23:48:37,24617,ABC00575,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2022-02-04 22:37:03,24616,ABC00575,Ilhas Maldivas
Medium,Event,31:2,Engine,Air Filter Restriction Derate,2022-02-04 22:06:50,24616,ABC00575,Ilhas Maldivas
Low,Event,272:1,Engine,Inlet Air Restriction Warning,2022-02-04 22:06:50,24616,ABC00575,Ilhas Maldivas
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,2022-02-04 21:29:04,24615,ABC00575,Ilhas Maldivas
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2022-02-04 21:29:04,24615,ABC00575,Ilhas Maldivas
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2022-02-01 16:31:04,24563,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-28 10:08:04,24488,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-13 14:44:38,24295,ABC00575,Ilhas Maldivas
Low,Diagnostic,101:3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,2021-12-14 17:22:13,24000,ABC00575,Ilhas Maldivas
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-17 12:23:30,23509,ABC00575,Ilhas Maldivas
