Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-11-30 15:25:53,65018,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-11-30 15:25:52,65018,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,542:4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,2021-11-30 15:25:29,65018,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,542:4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,2021-11-26 19:13:03,64958,S2R00243,Parcel do Manoel Luis
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,2021-11-26 09:07:50,64897,S2R00243,Parcel do Manoel Luis
Low,Event,173:1,Engine,High Exhaust Temperature Warning,2021-08-16 14:40:06,63135,S2R00243,Parcel do Manoel Luis
Low,Event,272:1,Engine,Inlet Air Restriction Warning,2021-08-16 14:40:06,63158,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2021-08-16 14:13:35,63136,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,275:3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,2021-08-16 14:13:34,63136,S2R00243,Parcel do Manoel Luis
Medium,Diagnostic,16:5,Engine,Cylinder #16 Injector:Current Below Normal,2021-08-16 14:13:34,63109,S2R00243,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2021-08-16 14:13:33,63138,S2R00243,Parcel do Manoel Luis
High,Event,225:3,Engine,Engine Overcrank,2021-08-16 14:13:33,63138,S2R00243,Parcel do Manoel Luis
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,2021-08-16 14:13:33,63121,S2R00243,Parcel do Manoel Luis
Medium,Event,31:2,Engine,Air Filter Restriction Derate,2021-08-16 14:13:33,63144,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-08-16 14:13:32,63158,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,276:3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,2021-08-16 14:13:32,63139,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-08-16 14:13:32,63158,S2R00243,Parcel do Manoel Luis
Low,Diagnostic,175:3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,2021-08-16 14:13:32,63138,S2R00243,Parcel do Manoel Luis
Medium,Diagnostic,11:5,Engine,Cylinder #11 Injector:Current Below Normal,2021-08-16 14:13:32,63158,S2R00243,Parcel do Manoel Luis
