Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-06 08:50:51,9049,SLM00574,Fernando de Noronha
Medium,Diagnostic,263:4,Engine,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,2022-04-05 15:58:27,9049,SLM00574,Fernando de Noronha
High,Event,4:3,Engine,Engine Overspeed Shutdown,2022-04-04 14:31:09,9049,SLM00574,Fernando de Noronha
Low,Event,190:1,Engine,Engine Overspeed Warning,2022-04-04 14:31:08,9049,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-03-24 10:11:23,9049,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-03-24 10:11:22,9049,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-22 10:09:00,9048,SLM00574,Fernando de Noronha
Low,Diagnostic,828:8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-03-11 13:51:27,9047,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-03-11 13:51:27,9047,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-10 09:27:19,9046,SLM00574,Fernando de Noronha
High,Event,225:3,Engine,Engine Overcrank,2022-03-10 09:01:25,9046,SLM00574,Fernando de Noronha
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2022-03-09 23:16:00,9042,SLM00574,Fernando de Noronha
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-07 08:52:45,9030,SLM00574,Fernando de Noronha
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2022-02-26 05:24:52,9028,SLM00574,Fernando de Noronha
Low,Diagnostic,827:8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",2022-02-26 05:22:13,9028,SLM00574,Fernando de Noronha
