Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-27 16:09:18,55981,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-27 09:19:55,55978,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-26 10:23:25,55973,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-21 18:42:49,55862,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-20 12:22:20,55836,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-10 08:35:32,55592,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-08 10:37:56,55546,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-05 10:33:23,55481,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-04 17:29:21,55465,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-04 13:47:49,55463,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-01 10:17:11,55388,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-30 06:56:26,55370,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-28 17:40:02,55360,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-26 11:17:36,55322,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-23 15:39:35,55318,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-23 08:23:54,55311,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-22 16:40:14,55303,TTG00232,Ilha da Trindade
Medium,Diagnostic,91:13,Engine #5,Throttle Position Sensor:Out of Calibration,2022-03-22 14:20:07,55301,TTG00232,Ilha da Trindade
Medium,Diagnostic,168:1,Engine #5,Electrical System Voltage:Low,2022-03-22 14:20:07,55301,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-22 07:49:28,55301,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-21 19:31:35,55298,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-14 11:18:53,55286,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-12 16:13:11,55284,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-11 09:26:28,55254,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-08 22:00:37,55194,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-08 11:49:41,55184,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-08 10:36:19,55183,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-04 19:43:52,55156,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-04 10:50:13,55147,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-28 10:06:08,55125,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-24 21:01:18,55040,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-23 11:29:20,55007,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-22 13:10:27,54991,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-22 07:26:57,54989,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-20 17:13:29,54951,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-17 09:50:34,54947,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-13 11:47:53,54932,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-10 14:56:54,54930,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-05 08:02:39,54811,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-04 10:05:43,54789,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-31 14:48:55,54706,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-28 07:42:38,54644,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-25 08:00:06,54584,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-24 23:03:31,54581,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-20 08:08:00,54572,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-18 19:18:08,54570,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-16 00:51:12,54508,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-14 20:52:47,54480,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-13 00:13:19,54438,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-12 22:19:37,54436,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-11 12:49:52,54408,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-08 09:42:24,54343,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-01-02 22:52:50,54221,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-29 19:43:56,54122,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-28 18:04:00,54098,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-28 12:31:40,54096,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-28 06:39:40,54094,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-26 22:30:19,54062,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-24 17:17:37,54009,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-23 12:07:10,53979,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-18 07:36:46,53859,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-07 20:23:49,53610,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-03 23:15:55,53607,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-02 00:19:08,53567,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-01 20:35:10,53566,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-01 10:42:04,53564,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-29 23:54:57,53534,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-24 12:44:05,53406,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-20 08:37:44,53317,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-14 08:59:20,53179,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-09 15:10:13,53071,TTG00232,Ilha da Trindade
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-08 18:51:52,53061,TTG00232,Ilha da Trindade
Medium,Diagnostic,91:8,Engine #5,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",2021-11-07 14:23:35,52972,TTG00232,Ilha da Trindade
