Severity,Type,Code,Source,Description,Count,Asset,Site
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",8,S2R00223,Parcel do Manoel Luis
Low,Diagnostic,275:3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,29,S2R00223,Parcel do Manoel Luis
Low,Diagnostic,275:4,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Below Normal,32,S2R00223,Parcel do Manoel Luis
Low,Diagnostic,276:3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1,S2R00223,Parcel do Manoel Luis
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",8,S2R00223,Parcel do Manoel Luis
Low,Diagnostic,542:4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,4,S2R00223,Parcel do Manoel Luis
Low,Event,101:1,Engine,High Crankcase Pressure Warning,2,S2R00223,Parcel do Manoel Luis
Low,Event,173:1,Engine,High Exhaust Temperature Warning,4,S2R00223,Parcel do Manoel Luis
Low,Event,272:1,Engine,Inlet Air Restriction Warning,5,S2R00223,Parcel do Manoel Luis
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,2,S2R00223,Parcel do Manoel Luis
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,1,S2R00223,Parcel do Manoel Luis
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,1,S2R00223,Parcel do Manoel Luis
Medium,Event,31:2,Engine,Air Filter Restriction Derate,3,S2R00223,Parcel do Manoel Luis
