Timestamp,ABC00548_Fuel_Rate,ABC00547_Fuel_Rate,ABC00546_Fuel_Rate,Site
2021-07-01,99.0,111.0,,Hendrix
2021-07-02,125.0,114.0,,Hendrix
2021-07-03,164.0,169.0,,Hendrix
2021-07-04,,116.0,,Hendrix
2021-07-05,120.0,119.0,,Hendrix
2021-07-06,132.0,206.0,,Hendrix
2021-07-07,119.0,,,Hendrix
2021-07-08,99.0,89.0,,Hendrix
2021-07-09,87.0,117.0,,Hendrix
2021-07-10,118.0,118.0,,Hendrix
2021-07-11,119.0,,,Hendrix
2021-07-12,132.0,135.0,,Hendrix
2021-07-13,126.0,119.0,,Hendrix
2021-07-14,,126.0,,Hendrix
2021-07-15,136.0,125.0,,Hendrix
2021-07-16,200.0,158.0,,Hendrix
2021-07-17,,95.0,,Hendrix
2021-07-18,94.0,95.0,,Hendrix
2021-07-19,92.0,,,Hendrix
2021-07-20,92.0,,,Hendrix
2021-07-21,121.0,134.0,,Hendrix
2021-07-22,112.0,,,Hendrix
2021-07-23,101.0,86.0,,Hendrix
2021-07-24,118.0,158.0,,Hendrix
2021-07-25,118.0,37.0,,Hendrix
2021-07-26,231.0,213.0,,Hendrix
2021-07-27,,124.0,,Hendrix
2021-07-28,,122.0,,Hendrix
2021-07-29,126.0,131.0,,Hendrix
2021-07-30,118.0,,,Hendrix
2021-07-31,118.0,,,Hendrix
2021-08-01,112.0,106.0,,Hendrix
2021-08-02,95.0,116.0,,Hendrix
2021-08-03,115.0,,,Hendrix
2021-08-04,116.0,,,Hendrix
2021-08-05,113.0,,,Hendrix
2021-08-06,113.0,,,Hendrix
2021-08-07,108.0,,,Hendrix
2021-08-08,108.0,,,Hendrix
2021-08-09,108.0,,,Hendrix
2021-08-10,108.0,,,Hendrix
2021-08-11,108.0,,,Hendrix
2021-08-12,108.0,,,Hendrix
2021-08-13,108.0,,,Hendrix
2021-08-14,90.0,91.0,,Hendrix
2021-08-15,89.0,96.0,,Hendrix
2021-08-16,198.0,148.0,,Hendrix
2021-08-17,36.0,124.0,,Hendrix
2021-08-18,,123.0,,Hendrix
2021-08-19,,138.0,,Hendrix
2021-08-20,102.0,132.0,,Hendrix
2021-08-21,,113.0,,Hendrix
2021-08-22,,119.0,,Hendrix
2021-08-23,,125.0,,Hendrix
2021-08-24,128.0,129.0,,Hendrix
2021-08-25,94.0,96.0,,Hendrix
2021-08-26,87.0,90.0,,Hendrix
2021-08-27,128.0,118.0,,Hendrix
2021-08-28,,117.0,,Hendrix
2021-08-29,,121.0,,Hendrix
2021-08-30,,128.0,,Hendrix
2021-08-31,119.0,120.0,,Hendrix
2021-09-01,118.0,,,Hendrix
2021-09-02,119.0,,,Hendrix
2021-09-03,122.0,,,Hendrix
2021-09-04,111.0,124.0,,Hendrix
2021-09-05,94.0,120.0,,Hendrix
2021-09-06,169.0,134.0,,Hendrix
2021-09-07,188.0,148.0,,Hendrix
2021-09-08,97.0,93.0,,Hendrix
2021-09-09,,90.0,,Hendrix
2021-09-10,,92.0,,Hendrix
2021-09-11,,93.0,,Hendrix
2021-09-12,157.0,143.0,,Hendrix
2021-09-13,223.0,170.0,,Hendrix
2021-09-14,,136.0,,Hendrix
2021-09-15,195.0,145.0,,Hendrix
2021-09-16,,127.0,,Hendrix
2021-09-17,184.0,143.0,,Hendrix
2021-09-18,,148.0,,Hendrix
2021-09-19,,147.0,,Hendrix
2021-09-20,230.0,160.0,219.0,Hendrix
2021-09-21,,155.0,,Hendrix
2021-09-22,125.0,126.0,,Hendrix
2021-09-23,,149.0,,Hendrix
2021-09-24,,163.0,,Hendrix
2021-09-25,,139.0,,Hendrix
2021-09-26,,126.0,,Hendrix
2021-09-27,32.0,125.0,,Hendrix
2021-09-28,122.0,114.0,,Hendrix
2021-09-29,117.0,,,Hendrix
2021-09-30,121.0,,,Hendrix
2021-10-01,129.0,,,Hendrix
2021-10-02,124.0,,,Hendrix
2021-10-03,151.0,228.0,,Hendrix
2021-10-04,206.0,200.0,260.0,Hendrix
2021-10-05,134.0,150.0,,Hendrix
2021-10-06,126.0,,,Hendrix
2021-10-07,,148.0,,Hendrix
2021-10-08,231.0,164.0,,Hendrix
2021-10-09,207.0,177.0,187.0,Hendrix
2021-10-10,79.0,93.0,96.0,Hendrix
2021-10-11,200.0,226.0,96.0,Hendrix
2021-10-12,248.0,190.0,,Hendrix
2021-10-13,193.0,173.0,,Hendrix
2021-10-14,,118.0,,Hendrix
2021-10-15,,123.0,,Hendrix
2021-10-16,,124.0,,Hendrix
2021-10-17,113.0,115.0,,Hendrix
2021-10-18,117.0,,,Hendrix
2021-10-19,115.0,,,Hendrix
2021-10-20,111.0,,,Hendrix
2021-10-21,114.0,36.0,,Hendrix
2021-10-22,120.0,,,Hendrix
2021-10-23,117.0,,,Hendrix
2021-10-24,160.0,124.0,,Hendrix
2021-10-25,4.0,121.0,,Hendrix
2021-10-26,,123.0,,Hendrix
2021-10-27,,115.0,,Hendrix
2021-10-28,88.0,115.0,,Hendrix
2021-10-29,121.0,92.0,,Hendrix
2021-10-30,126.0,83.0,,Hendrix
2021-10-31,126.0,118.0,,Hendrix
2021-11-01,126.0,135.0,,Hendrix
2021-11-02,126.0,136.0,,Hendrix
2021-11-03,126.0,114.0,,Hendrix
2021-11-04,126.0,103.0,,Hendrix
2021-11-05,126.0,110.0,,Hendrix
2021-11-06,126.0,174.0,,Hendrix
2021-11-07,,106.0,,Hendrix
2021-11-08,126.0,122.0,,Hendrix
2021-11-09,126.0,123.0,,Hendrix
2021-11-10,126.0,106.0,,Hendrix
2021-11-11,126.0,100.0,,Hendrix
2021-11-12,,108.0,,Hendrix
2021-11-13,,108.0,,Hendrix
2021-11-14,126.0,118.0,,Hendrix
2021-11-15,126.0,126.0,,Hendrix
2021-11-16,143.0,151.0,,Hendrix
2021-11-17,,147.0,,Hendrix
2021-11-18,144.0,133.0,,Hendrix
2021-11-19,133.0,131.0,,Hendrix
2021-11-20,94.0,122.0,,Hendrix
2021-11-21,,117.0,,Hendrix
2021-11-22,124.0,116.0,,Hendrix
2021-11-23,113.0,107.0,,Hendrix
2021-11-24,124.0,123.0,,Hendrix
2021-11-25,108.0,106.0,,Hendrix
2021-11-26,142.0,141.0,,Hendrix
2021-11-27,108.0,120.0,,Hendrix
2021-11-28,122.0,112.0,,Hendrix
2021-11-29,65.0,126.0,,Hendrix
2021-11-30,113.0,133.0,,Hendrix
2021-12-01,138.0,139.0,,Hendrix
2021-12-02,182.0,194.0,,Hendrix
2021-12-03,121.0,112.0,,Hendrix
2021-12-04,,94.0,,Hendrix
2021-12-05,198.0,182.0,,Hendrix
2021-12-06,,109.0,,Hendrix
2021-12-07,,111.0,,Hendrix
2021-12-08,,107.0,,Hendrix
2021-12-09,96.0,109.0,,Hendrix
2021-12-10,117.0,123.0,,Hendrix
2021-12-11,,119.0,,Hendrix
2021-12-12,227.0,114.0,,Hendrix
2021-12-13,122.0,159.0,,Hendrix
2021-12-14,112.0,,,Hendrix
2021-12-15,115.0,,4.0,Hendrix
2021-12-16,121.0,,,Hendrix
2021-12-17,119.0,175.0,,Hendrix
2021-12-18,115.0,,,Hendrix
2021-12-19,114.0,,,Hendrix
2021-12-20,145.0,,173.0,Hendrix
2021-12-21,114.0,,,Hendrix
2021-12-22,159.0,136.0,,Hendrix
