Timestamp,TTG00235_Fuel_Rate,TTG00232_Fuel_Rate,Site
2021-08-02,40.0,,Ilha da Trindade
2021-08-03,57.0,,Ilha da Trindade
2021-08-04,66.0,172.0,Ilha da Trindade
2021-08-05,92.0,152.0,Ilha da Trindade
2021-08-06,83.0,97.0,Ilha da Trindade
2021-08-07,105.0,76.0,Ilha da Trindade
2021-08-08,117.0,116.0,Ilha da Trindade
2021-08-09,120.0,104.0,Ilha da Trindade
2021-08-10,82.0,72.0,Ilha da Trindade
2021-08-11,42.0,45.0,Ilha da Trindade
2021-08-12,87.0,86.0,Ilha da Trindade
2021-08-13,98.0,74.0,Ilha da Trindade
2021-08-14,58.0,55.0,Ilha da Trindade
2021-08-15,85.0,48.0,Ilha da Trindade
2021-08-16,126.0,102.0,Ilha da Trindade
2021-08-17,41.0,41.0,Ilha da Trindade
2021-08-18,86.0,84.0,Ilha da Trindade
2021-08-19,42.0,44.0,Ilha da Trindade
2021-08-20,45.0,46.0,Ilha da Trindade
2021-08-21,40.0,40.0,Ilha da Trindade
2021-08-22,77.0,73.0,Ilha da Trindade
2021-08-23,54.0,64.0,Ilha da Trindade
2021-08-24,45.0,42.0,Ilha da Trindade
2021-08-25,45.0,46.0,Ilha da Trindade
2021-08-26,58.0,61.0,Ilha da Trindade
2021-08-27,49.0,44.0,Ilha da Trindade
2021-08-28,40.0,40.0,Ilha da Trindade
2021-08-29,134.0,88.0,Ilha da Trindade
2021-08-30,139.0,91.0,Ilha da Trindade
2021-08-31,74.0,67.0,Ilha da Trindade
2021-09-01,108.0,90.0,Ilha da Trindade
2021-09-02,179.0,117.0,Ilha da Trindade
2021-09-03,112.0,87.0,Ilha da Trindade
2021-09-04,42.0,47.0,Ilha da Trindade
2021-09-05,97.0,61.0,Ilha da Trindade
2021-09-06,95.0,63.0,Ilha da Trindade
2021-09-07,126.0,104.0,Ilha da Trindade
2021-09-08,64.0,61.0,Ilha da Trindade
2021-09-09,50.0,57.0,Ilha da Trindade
2021-09-10,75.0,52.0,Ilha da Trindade
2021-09-11,45.0,40.0,Ilha da Trindade
2021-09-12,44.0,46.0,Ilha da Trindade
2021-09-13,41.0,40.0,Ilha da Trindade
2021-09-14,44.0,46.0,Ilha da Trindade
2021-09-15,43.0,43.0,Ilha da Trindade
2021-09-16,41.0,41.0,Ilha da Trindade
2021-09-17,72.0,53.0,Ilha da Trindade
