Timestamp,ABC00575_Fuel_Rate,ABC00576_Fuel_Rate,ABC00574_Fuel_Rate,Site
2021-07-01,,,,Ilhas Maldivas
2021-07-02,,,,Ilhas Maldivas
2021-07-03,,,,Ilhas Maldivas
2021-07-04,,,,Ilhas Maldivas
2021-07-05,,,,Ilhas Maldivas
2021-07-06,,,,Ilhas Maldivas
2021-07-07,,,,Ilhas Maldivas
2021-07-08,,,,Ilhas Maldivas
2021-07-09,,,,Ilhas Maldivas
2021-07-10,,,,Ilhas Maldivas
2021-07-11,,,,Ilhas Maldivas
2021-07-12,,,,Ilhas Maldivas
2021-07-13,,,,Ilhas Maldivas
2021-07-14,,,,Ilhas Maldivas
2021-07-15,,,,Ilhas Maldivas
2021-07-16,,,,Ilhas Maldivas
2021-07-17,,,,Ilhas Maldivas
2021-07-18,,,,Ilhas Maldivas
2021-07-19,,,,Ilhas Maldivas
2021-07-20,,,,Ilhas Maldivas
2021-07-21,,,,Ilhas Maldivas
2021-07-22,,,,Ilhas Maldivas
2021-07-23,,,,Ilhas Maldivas
2021-07-24,,,,Ilhas Maldivas
2021-07-25,,,,Ilhas Maldivas
2021-07-26,,,,Ilhas Maldivas
2021-07-27,,,,Ilhas Maldivas
2021-07-28,,,,Ilhas Maldivas
2021-07-29,,,,Ilhas Maldivas
2021-07-30,,,,Ilhas Maldivas
2021-07-31,,,,Ilhas Maldivas
2021-08-01,,,,Ilhas Maldivas
2021-08-02,,,,Ilhas Maldivas
2021-08-03,,,,Ilhas Maldivas
2021-08-04,,,,Ilhas Maldivas
2021-08-05,,,,Ilhas Maldivas
2021-08-06,,,,Ilhas Maldivas
2021-08-07,,,,Ilhas Maldivas
2021-08-08,,,,Ilhas Maldivas
2021-08-09,,,,Ilhas Maldivas
2021-08-10,,,,Ilhas Maldivas
2021-08-11,,,,Ilhas Maldivas
2021-08-12,,,,Ilhas Maldivas
2021-08-13,,,,Ilhas Maldivas
2021-08-14,,,,Ilhas Maldivas
2021-08-15,,,,Ilhas Maldivas
2021-08-16,,,,Ilhas Maldivas
2021-08-17,,,,Ilhas Maldivas
2021-08-18,,,,Ilhas Maldivas
2021-08-19,,,,Ilhas Maldivas
2021-08-20,,,,Ilhas Maldivas
2021-08-21,,,,Ilhas Maldivas
2021-08-22,,,,Ilhas Maldivas
2021-08-23,,,,Ilhas Maldivas
2021-08-24,,,,Ilhas Maldivas
2021-08-25,,,,Ilhas Maldivas
2021-08-26,,,,Ilhas Maldivas
2021-08-27,,,,Ilhas Maldivas
2021-08-28,,,,Ilhas Maldivas
2021-08-29,,,,Ilhas Maldivas
2021-08-30,,,,Ilhas Maldivas
2021-08-31,,,,Ilhas Maldivas
2021-09-01,,,,Ilhas Maldivas
2021-09-02,,,,Ilhas Maldivas
2021-09-03,,,243.0,Ilhas Maldivas
2021-09-04,,,,Ilhas Maldivas
2021-09-05,,,,Ilhas Maldivas
2021-09-06,,,,Ilhas Maldivas
2021-09-07,,,,Ilhas Maldivas
2021-09-08,,,,Ilhas Maldivas
2021-09-09,,,,Ilhas Maldivas
2021-09-10,,,,Ilhas Maldivas
2021-09-11,,,,Ilhas Maldivas
2021-09-12,,,,Ilhas Maldivas
2021-09-13,,,,Ilhas Maldivas
2021-09-14,,,,Ilhas Maldivas
2021-09-15,,,,Ilhas Maldivas
2021-09-16,,,,Ilhas Maldivas
2021-09-17,,,,Ilhas Maldivas
2021-09-18,,,,Ilhas Maldivas
2021-09-19,,,,Ilhas Maldivas
2021-09-20,,,,Ilhas Maldivas
2021-09-21,,,,Ilhas Maldivas
2021-09-22,,,,Ilhas Maldivas
2021-09-23,,,,Ilhas Maldivas
2021-09-24,,,91.0,Ilhas Maldivas
2021-09-25,,,87.0,Ilhas Maldivas
2021-09-26,,,,Ilhas Maldivas
2021-09-27,,,46.0,Ilhas Maldivas
2021-09-28,,,,Ilhas Maldivas
2021-09-29,,,,Ilhas Maldivas
2021-09-30,,,198.0,Ilhas Maldivas
2021-10-01,,,,Ilhas Maldivas
2021-10-02,,,63.0,Ilhas Maldivas
2021-10-03,,,94.0,Ilhas Maldivas
2021-10-04,,,,Ilhas Maldivas
2021-10-05,,,,Ilhas Maldivas
2021-10-06,,,90.0,Ilhas Maldivas
2021-10-07,,,94.0,Ilhas Maldivas
2021-10-08,,,,Ilhas Maldivas
2021-10-09,,,,Ilhas Maldivas
2021-10-10,,,,Ilhas Maldivas
2021-10-11,,,,Ilhas Maldivas
2021-10-12,,,,Ilhas Maldivas
2021-10-13,,,,Ilhas Maldivas
2021-10-14,,,,Ilhas Maldivas
2021-10-15,,,,Ilhas Maldivas
2021-10-16,,,,Ilhas Maldivas
2021-10-17,,,,Ilhas Maldivas
2021-10-18,,,,Ilhas Maldivas
2021-10-19,,,,Ilhas Maldivas
2021-10-20,,,,Ilhas Maldivas
2021-10-21,,,,Ilhas Maldivas
2021-10-22,,,,Ilhas Maldivas
2021-10-23,,,,Ilhas Maldivas
2021-10-24,,,,Ilhas Maldivas
2021-10-25,,,,Ilhas Maldivas
2021-10-26,,,,Ilhas Maldivas
2021-10-27,,,42.0,Ilhas Maldivas
2021-10-28,,,,Ilhas Maldivas
2021-10-29,,,,Ilhas Maldivas
2021-10-30,,,,Ilhas Maldivas
2021-10-31,,,,Ilhas Maldivas
2021-11-01,,,,Ilhas Maldivas
2021-11-02,,,,Ilhas Maldivas
2021-11-03,,,,Ilhas Maldivas
2021-11-04,,,,Ilhas Maldivas
2021-11-05,,,,Ilhas Maldivas
2021-11-06,,,,Ilhas Maldivas
2021-11-07,,,,Ilhas Maldivas
2021-11-08,,,,Ilhas Maldivas
2021-11-09,,,,Ilhas Maldivas
2021-11-10,,,,Ilhas Maldivas
2021-11-11,,,,Ilhas Maldivas
