Timestamp,TTG00239_Fuel_Rate,TTG00240_Fuel_Rate,Site
2021-07-01,124.0,,NS Loreto
2021-07-02,,,NS Loreto
2021-07-03,,,NS Loreto
2021-07-04,,,NS Loreto
2021-07-05,43.0,,NS Loreto
2021-07-06,,,NS Loreto
2021-07-07,158.0,,NS Loreto
2021-07-08,,,NS Loreto
2021-07-09,,,NS Loreto
2021-07-10,106.0,,NS Loreto
2021-07-11,148.0,,NS Loreto
2021-07-12,,,NS Loreto
2021-07-13,,,NS Loreto
2021-07-14,,,NS Loreto
2021-07-15,,,NS Loreto
2021-07-16,139.0,,NS Loreto
2021-07-17,158.0,,NS Loreto
2021-07-18,125.0,,NS Loreto
2021-07-19,,,NS Loreto
2021-07-20,,,NS Loreto
2021-07-21,,,NS Loreto
2021-07-22,134.0,,NS Loreto
2021-07-23,148.0,,NS Loreto
2021-07-24,117.0,,NS Loreto
2021-07-25,178.0,,NS Loreto
2021-07-26,193.0,,NS Loreto
2021-07-27,136.0,,NS Loreto
2021-07-28,,,NS Loreto
2021-07-29,126.0,,NS Loreto
2021-07-30,112.0,,NS Loreto
2021-07-31,72.0,,NS Loreto
2021-08-01,100.0,,NS Loreto
2021-08-02,,,NS Loreto
2021-08-03,100.0,,NS Loreto
2021-08-04,,,NS Loreto
2021-08-05,106.0,,NS Loreto
2021-08-06,,,NS Loreto
2021-08-07,,,NS Loreto
2021-08-08,,,NS Loreto
2021-08-09,,,NS Loreto
2021-08-10,140.0,,NS Loreto
2021-08-11,185.0,,NS Loreto
2021-08-12,,,NS Loreto
2021-08-13,,,NS Loreto
2021-08-14,,,NS Loreto
2021-08-15,,,NS Loreto
2021-08-16,,,NS Loreto
2021-08-17,,,NS Loreto
2021-08-18,205.0,,NS Loreto
2021-08-19,180.0,,NS Loreto
2021-08-20,144.0,,NS Loreto
2021-08-21,138.0,,NS Loreto
2021-08-22,176.0,,NS Loreto
2021-08-23,121.0,,NS Loreto
2021-08-24,116.0,,NS Loreto
2021-08-25,,,NS Loreto
2021-08-26,,,NS Loreto
2021-08-27,,,NS Loreto
2021-08-28,,,NS Loreto
2021-08-29,,,NS Loreto
2021-08-30,,,NS Loreto
2021-08-31,,,NS Loreto
2021-09-01,44.0,,NS Loreto
2021-09-02,98.0,,NS Loreto
2021-09-03,105.0,,NS Loreto
2021-09-04,77.0,,NS Loreto
2021-09-05,,,NS Loreto
2021-09-06,,,NS Loreto
2021-09-07,145.0,,NS Loreto
2021-09-08,,,NS Loreto
2021-09-09,274.0,,NS Loreto
2021-09-10,144.0,,NS Loreto
2021-09-11,124.0,,NS Loreto
2021-09-12,104.0,,NS Loreto
2021-09-13,191.0,,NS Loreto
2021-09-14,246.0,,NS Loreto
2021-09-15,151.0,,NS Loreto
2021-09-16,134.0,,NS Loreto
2021-09-17,126.0,,NS Loreto
2021-09-18,,,NS Loreto
2021-09-19,223.0,,NS Loreto
2021-09-20,,,NS Loreto
2021-09-21,111.0,,NS Loreto
2021-09-22,,,NS Loreto
2021-09-23,95.0,,NS Loreto
2021-09-24,190.0,,NS Loreto
2021-09-25,133.0,,NS Loreto
2021-09-26,108.0,,NS Loreto
2021-09-27,154.0,,NS Loreto
2021-09-28,,,NS Loreto
2021-09-29,96.0,,NS Loreto
2021-09-30,,,NS Loreto
2021-10-01,,,NS Loreto
2021-10-02,163.0,,NS Loreto
2021-10-03,184.0,,NS Loreto
2021-10-04,175.0,,NS Loreto
2021-10-05,130.0,,NS Loreto
2021-10-06,,,NS Loreto
2021-10-07,174.0,,NS Loreto
2021-10-08,150.0,,NS Loreto
2021-10-09,97.0,,NS Loreto
2021-10-10,,,NS Loreto
2021-10-11,105.0,,NS Loreto
2021-10-12,103.0,,NS Loreto
2021-10-13,108.0,,NS Loreto
2021-10-14,175.0,,NS Loreto
2021-10-15,,,NS Loreto
2021-10-16,,,NS Loreto
2021-10-17,,,NS Loreto
2021-10-18,,,NS Loreto
2021-10-19,106.0,,NS Loreto
2021-10-20,95.0,,NS Loreto
2021-10-21,112.0,,NS Loreto
2021-10-22,,,NS Loreto
2021-10-23,,,NS Loreto
2021-10-24,,,NS Loreto
2021-10-25,,,NS Loreto
2021-10-26,,,NS Loreto
2021-10-27,99.0,,NS Loreto
2021-10-28,144.0,,NS Loreto
2021-10-29,97.0,,NS Loreto
2021-10-30,109.0,,NS Loreto
2021-10-31,112.0,,NS Loreto
2021-11-01,113.0,,NS Loreto
