Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,3.7900000000000005,65.9839527871199,ABA00247,Lewis Hamilton
10-20%,69.69,1213.3038706423179,ABA00247,Lewis Hamilton
20-30%,9.139999999999999,159.1275273019197,ABA00247,Lewis Hamilton
30-40%,6.41,111.59818927847982,ABA00247,Lewis Hamilton
40-50%,10.08,175.4929403942397,ABA00247,Lewis Hamilton
50-60%,0.7799999999999999,13.579810863839976,ABA00247,Lewis Hamilton
60-70%,0.06,1.044600835679998,ABA00247,Lewis Hamilton
70-80%,0.06,1.044600835679998,ABA00247,Lewis Hamilton
80-90%,0.0,0.0,ABA00247,Lewis Hamilton
90-100%,0.0,0.0,ABA00247,Lewis Hamilton
100-110%,0.0,0.0,ABA00247,Lewis Hamilton
