Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,22.95,12848.04451842739,ABB00232,Florianopolis
10-20%,19.13,10709.502903595469,ABB00232,Florianopolis
20-30%,13.26,7423.314610646938,ABB00232,Florianopolis
30-40%,16.78,9393.907931120333,ABB00232,Florianopolis
40-50%,22.11,12377.789294223512,ABB00232,Florianopolis
50-60%,3.75,2099.3536794816,ABB00232,Florianopolis
60-70%,1.47,822.9466423567872,ABB00232,Florianopolis
70-80%,0.13999999999999999,78.37587070064639,ABB00232,Florianopolis
80-90%,0.09,50.38448830755839,ABB00232,Florianopolis
90-100%,0.32,179.14484731576317,ABB00232,Florianopolis
100-110%,0.0,0.0,ABB00232,Florianopolis
