Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.06999999999999999,3.0723024578399976,ABC00575,Ilhas Maldivas
10-20%,1.0699999999999998,46.96233756983995,ABC00575,Ilhas Maldivas
20-30%,62.019999999999996,2722.0599776462377,ABC00575,Ilhas Maldivas
30-40%,22.509999999999998,987.9646903711192,ABC00575,Ilhas Maldivas
40-50%,10.18,446.8005574401597,ABC00575,Ilhas Maldivas
50-60%,3.61,158.4430267543199,ABC00575,Ilhas Maldivas
60-70%,0.43,18.872715098159986,ABC00575,Ilhas Maldivas
70-80%,0.06999999999999999,3.0723024578399976,ABC00575,Ilhas Maldivas
80-90%,0.0,0.0,ABC00575,Ilhas Maldivas
90-100%,0.05,2.1945017555999984,ABC00575,Ilhas Maldivas
100-110%,0.0,0.0,ABC00575,Ilhas Maldivas
