Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,1.0,22.990018391999982,PAG00133,Parcel do Manoel Luis
10-20%,3.55,81.61456529159994,PAG00133,Parcel do Manoel Luis
20-30%,86.83,1996.2232969773584,PAG00133,Parcel do Manoel Luis
30-40%,2.11,48.50893880711997,PAG00133,Parcel do Manoel Luis
40-50%,5.2299999999999995,120.2377961901599,PAG00133,Parcel do Manoel Luis
50-60%,1.27,29.197323357839977,PAG00133,Parcel do Manoel Luis
60-70%,0.0,0.0,PAG00133,Parcel do Manoel Luis
70-80%,0.0,0.0,PAG00133,Parcel do Manoel Luis
80-90%,0.0,0.0,PAG00133,Parcel do Manoel Luis
90-100%,0.0,0.0,PAG00133,Parcel do Manoel Luis
100-110%,0.0,0.0,PAG00133,Parcel do Manoel Luis
