Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.0,0.0,SLM00547,Jim O'Brien
10-20%,0.58,29.150823320639994,SLM00547,Jim O'Brien
20-30%,64.24,3228.704982961919,SLM00547,Jim O'Brien
30-40%,21.19,1065.01025200752,SLM00547,Jim O'Brien
40-50%,9.13,458.87416709904,SLM00547,Jim O'Brien
50-60%,4.74,238.23259058591998,SLM00547,Jim O'Brien
60-70%,0.12,6.031204824959999,SLM00547,Jim O'Brien
70-80%,0.0,0.0,SLM00547,Jim O'Brien
80-90%,0.0,0.0,SLM00547,Jim O'Brien
90-100%,0.0,0.0,SLM00547,Jim O'Brien
100-110%,0.0,0.0,SLM00547,Jim O'Brien
