Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.12,4.710067768051204,TTG00230,Macaé
10-20%,0.6,23.55033884025602,TTG00230,Macaé
20-30%,8.76,343.83494706773797,TTG00230,Macaé
30-40%,22.07,866.259963674084,TTG00230,Macaé
40-50%,45.58,1789.0407405647825,TTG00230,Macaé
50-60%,21.77,854.484794253956,TTG00230,Macaé
60-70%,0.9900000000000001,38.85805908642244,TTG00230,Macaé
70-80%,0.12,4.710067768051204,TTG00230,Macaé
80-90%,0.0,0.0,TTG00230,Macaé
90-100%,0.0,0.0,TTG00230,Macaé
100-110%,0.0,0.0,TTG00230,Macaé
