Timestamp,ABC00548_Load,ABC00547_Load,ABC00546_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-07-01,27.0,29.0,9.0,2.0,50.0,50.0,0.0,Hendrix
2021-07-02,31.0,30.0,,2.0,4.2,95.8,0.0,Hendrix
2021-07-03,40.0,40.0,36.0,2.0,0.0,83.3,16.7,Hendrix
2021-07-04,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-05,30.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-07-06,33.0,48.0,,1.0,66.7,33.3,0.0,Hendrix
2021-07-07,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-08,27.0,25.0,,2.0,37.5,62.5,0.0,Hendrix
2021-07-09,24.0,30.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-10,30.0,30.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-11,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-12,33.0,33.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-13,31.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-14,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-15,34.0,32.0,27.0,2.0,45.8,54.2,0.0,Hendrix
2021-07-16,47.0,38.0,,2.0,45.8,54.2,0.0,Hendrix
2021-07-17,,26.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-18,26.0,26.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-19,26.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-20,26.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-21,31.0,34.0,16.0,1.0,54.2,45.8,0.0,Hendrix
2021-07-22,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-23,27.0,24.0,,2.0,33.3,66.7,0.0,Hendrix
2021-07-24,30.0,38.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-25,30.0,16.0,,1.0,91.7,4.2,0.0,Hendrix
2021-07-26,53.0,49.0,40.0,2.0,20.8,62.5,16.7,Hendrix
2021-07-27,,31.0,16.0,1.0,95.8,4.2,0.0,Hendrix
2021-07-28,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-29,31.0,32.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-30,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-31,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-01,29.0,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-02,26.0,30.0,,1.0,87.5,12.5,0.0,Hendrix
2021-08-03,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-04,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-05,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-06,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-07,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-08,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-09,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-10,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-11,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-12,37.0,47.0,9.0,1.0,54.2,45.8,0.0,Hendrix
2021-08-13,43.0,39.0,27.0,2.0,25.0,70.8,0.0,Hendrix
2021-08-14,26.0,26.0,27.0,1.0,91.7,4.2,0.0,Hendrix
2021-08-15,25.0,26.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-16,46.0,36.0,,2.0,50.0,50.0,0.0,Hendrix
2021-08-17,17.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-08-18,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-19,,34.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-20,27.0,33.0,,1.0,91.7,8.3,0.0,Hendrix
2021-08-21,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-22,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-23,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-24,32.0,32.0,31.0,1.0,100.0,0.0,0.0,Hendrix
2021-08-25,26.0,26.0,27.0,2.0,4.2,87.5,8.3,Hendrix
2021-08-26,25.0,25.0,,2.0,0.0,100.0,0.0,Hendrix
2021-08-27,33.0,31.0,,2.0,12.5,87.5,0.0,Hendrix
2021-08-28,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-29,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-30,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-31,30.0,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-01,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-02,30.0,,9.0,1.0,91.7,4.2,0.0,Hendrix
2021-09-03,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-04,29.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-09-05,26.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-09-06,40.0,33.0,,1.0,75.0,25.0,0.0,Hendrix
2021-09-07,44.0,36.0,,2.0,50.0,50.0,0.0,Hendrix
2021-09-08,27.0,26.0,,1.0,79.2,20.8,0.0,Hendrix
2021-09-09,,25.0,22.0,1.0,58.3,8.3,0.0,Hendrix
2021-09-10,,26.0,,1.0,91.7,0.0,0.0,Hendrix
2021-09-11,,26.0,,1.0,91.7,0.0,0.0,Hendrix
2021-09-12,38.0,35.0,,1.0,62.5,33.3,0.0,Hendrix
2021-09-13,51.0,40.0,,1.0,54.2,45.8,0.0,Hendrix
2021-09-14,,34.0,,1.0,95.8,0.0,0.0,Hendrix
2021-09-15,46.0,36.0,,1.0,91.7,8.3,0.0,Hendrix
2021-09-16,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-17,43.0,35.0,,1.0,83.3,16.7,0.0,Hendrix
2021-09-18,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-19,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-20,52.0,38.0,50.0,1.0,95.8,0.0,4.2,Hendrix
2021-09-21,,38.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-22,32.0,32.0,,1.0,58.3,41.7,0.0,Hendrix
2021-09-23,,36.0,,1.0,100.0,0.0,0.0,Hendrix
