Timestamp,ABC00575_Load,ABC00576_Load,ABC00574_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-07-01,42.0,43.0,,2.0,12.5,87.5,0.0,Ilhas Maldivas
2021-07-02,26.0,27.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-07-03,26.0,31.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-07-04,26.0,41.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2021-07-05,,41.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-06,19.0,29.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-07-07,33.0,33.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-08,29.0,27.0,,2.0,33.3,66.7,0.0,Ilhas Maldivas
2021-07-09,31.0,26.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-07-10,32.0,28.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-07-11,35.0,38.0,,1.0,54.2,45.8,0.0,Ilhas Maldivas
2021-07-12,30.0,28.0,,1.0,58.3,41.7,0.0,Ilhas Maldivas
2021-07-13,33.0,45.0,,1.0,75.0,16.7,0.0,Ilhas Maldivas
2021-07-14,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-15,30.0,30.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-16,,32.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-17,29.0,30.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-18,,32.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-19,,32.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-20,,33.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-21,,33.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-22,30.0,31.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2021-07-23,,34.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-24,,34.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-25,29.0,33.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-07-26,38.0,48.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2021-07-27,44.0,52.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2021-07-28,27.0,,,1.0,95.8,0.0,0.0,Ilhas Maldivas
2021-07-29,26.0,27.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-07-30,39.0,48.0,,2.0,45.8,54.2,0.0,Ilhas Maldivas
2021-07-31,31.0,38.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2021-08-01,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-08-02,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-08-03,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-08-04,28.0,28.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-08-05,28.0,31.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-08-06,31.0,33.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-08-07,38.0,36.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-08-08,,39.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-08-09,,37.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
