Timestamp,TTG00239_Load,TTG00240_Load,QNT_SIM,UT1E,UT2E,Site
2021-07-01,28.0,,0.0,8.3,0.0,NS Loreto
2021-07-02,,,0.0,0.0,0.0,NS Loreto
2021-07-03,,,0.0,0.0,0.0,NS Loreto
2021-07-04,,,0.0,0.0,0.0,NS Loreto
2021-07-05,8.0,,0.0,8.3,0.0,NS Loreto
2021-07-06,,,0.0,0.0,0.0,NS Loreto
2021-07-07,35.0,,0.0,4.2,0.0,NS Loreto
2021-07-08,,,0.0,0.0,0.0,NS Loreto
2021-07-09,,,0.0,0.0,0.0,NS Loreto
2021-07-10,25.0,,0.0,8.3,0.0,NS Loreto
2021-07-11,33.0,,0.0,12.5,0.0,NS Loreto
2021-07-12,,,0.0,0.0,0.0,NS Loreto
2021-07-13,,,0.0,0.0,0.0,NS Loreto
2021-07-14,,,0.0,0.0,0.0,NS Loreto
2021-07-15,,,0.0,0.0,0.0,NS Loreto
2021-07-16,33.0,,0.0,29.2,0.0,NS Loreto
2021-07-17,35.0,,1.0,100.0,0.0,NS Loreto
2021-07-18,31.0,,0.0,41.7,0.0,NS Loreto
2021-07-19,,,0.0,0.0,0.0,NS Loreto
2021-07-20,,,0.0,0.0,0.0,NS Loreto
2021-07-21,,,0.0,0.0,0.0,NS Loreto
2021-07-22,31.0,,1.0,70.8,0.0,NS Loreto
2021-07-23,33.0,,1.0,58.3,0.0,NS Loreto
2021-07-24,26.0,,0.0,16.7,0.0,NS Loreto
2021-07-25,40.0,,1.0,100.0,0.0,NS Loreto
2021-07-26,43.0,,0.0,45.8,0.0,NS Loreto
2021-07-27,30.0,,0.0,16.7,0.0,NS Loreto
2021-07-28,,,0.0,0.0,0.0,NS Loreto
2021-07-29,29.0,,0.0,45.8,0.0,NS Loreto
2021-07-30,25.0,,0.0,50.0,0.0,NS Loreto
2021-07-31,17.0,,0.0,4.2,0.0,NS Loreto
2021-08-01,24.0,,0.0,12.5,0.0,NS Loreto
2021-08-02,,,0.0,0.0,0.0,NS Loreto
2021-08-03,25.0,,0.0,29.2,0.0,NS Loreto
2021-08-04,,,0.0,0.0,0.0,NS Loreto
2021-08-05,26.0,,0.0,25.0,0.0,NS Loreto
2021-08-06,,,0.0,0.0,0.0,NS Loreto
2021-08-07,,,0.0,0.0,0.0,NS Loreto
2021-08-08,,,0.0,0.0,0.0,NS Loreto
2021-08-09,,,0.0,0.0,0.0,NS Loreto
2021-08-10,32.0,,1.0,58.3,0.0,NS Loreto
2021-08-11,40.0,,0.0,4.2,0.0,NS Loreto
2021-08-12,,,0.0,0.0,0.0,NS Loreto
2021-08-13,,,0.0,0.0,0.0,NS Loreto
2021-08-14,,,0.0,0.0,0.0,NS Loreto
2021-08-15,,,0.0,0.0,0.0,NS Loreto
2021-08-16,,,0.0,0.0,0.0,NS Loreto
2021-08-17,,,0.0,0.0,0.0,NS Loreto
2021-08-18,43.0,,0.0,33.3,0.0,NS Loreto
2021-08-19,40.0,,1.0,100.0,0.0,NS Loreto
2021-08-20,32.0,,1.0,100.0,0.0,NS Loreto
2021-08-21,31.0,,1.0,100.0,0.0,NS Loreto
2021-08-22,39.0,,1.0,100.0,0.0,NS Loreto
2021-08-23,28.0,,1.0,100.0,0.0,NS Loreto
2021-08-24,28.0,,0.0,45.8,0.0,NS Loreto
2021-08-25,,,0.0,0.0,0.0,NS Loreto
2021-08-26,,,0.0,0.0,0.0,NS Loreto
2021-08-27,,,0.0,0.0,0.0,NS Loreto
