RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABA00223,Lewis Hamilton
100-200,0.0,0.0,ABA00223,Lewis Hamilton
200-300,0.0,0.0,ABA00223,Lewis Hamilton
300-400,0.0,0.0,ABA00223,Lewis Hamilton
400-500,0.0,0.0,ABA00223,Lewis Hamilton
500-600,0.0,0.0,ABA00223,Lewis Hamilton
600-700,0.0,0.0,ABA00223,Lewis Hamilton
700-800,0.0,0.0,ABA00223,Lewis Hamilton
800-900,0.0,0.0,ABA00223,Lewis Hamilton
900-1000,0.0,0.0,ABA00223,Lewis Hamilton
1000-1100,0.0,0.0,ABA00223,Lewis Hamilton
1100-1200,0.0,0.0,ABA00223,Lewis Hamilton
1200-1300,0.0,0.0,ABA00223,Lewis Hamilton
1300-1400,0.0,0.0,ABA00223,Lewis Hamilton
1400-1500,0.0,0.0,ABA00223,Lewis Hamilton
1500-1600,0.0,0.0,ABA00223,Lewis Hamilton
1600-1700,0.0,0.0,ABA00223,Lewis Hamilton
1700-1800,48.82,1355.2442841945606,ABA00223,Lewis Hamilton
1800-1900,51.18000000000001,1420.7579366054406,ABA00223,Lewis Hamilton
