RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABB00231,Martin Miller
100-200,0.04,21.2362918779088,ABB00231,Martin Miller
200-300,0.0,0.0,ABB00231,Martin Miller
300-400,0.0,0.0,ABB00231,Martin Miller
400-500,0.0,0.0,ABB00231,Martin Miller
500-600,0.19,100.87238642006682,ABB00231,Martin Miller
600-700,2.29,1215.7777100102787,ABB00231,Martin Miller
700-800,1.35,716.724850879422,ABB00231,Martin Miller
800-900,6.08,3227.916365442138,ABB00231,Martin Miller
900-1000,7.5,3981.8047271079,ABB00231,Martin Miller
1000-1100,4.84,2569.5913172269647,ABB00231,Martin Miller
1100-1200,9.98,5298.454823538246,ABB00231,Martin Miller
1200-1300,2.85,1513.085796301002,ABB00231,Martin Miller
1300-1400,0.15,79.63609454215799,ABB00231,Martin Miller
1400-1500,0.04,21.2362918779088,ABB00231,Martin Miller
1500-1600,0.04,21.2362918779088,ABB00231,Martin Miller
1600-1700,0.0,0.0,ABB00231,Martin Miller
1700-1800,37.0,19643.56998706564,ABB00231,Martin Miller
1800-1900,27.650000000000002,14679.586760604461,ABB00231,Martin Miller
