RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABC00574,Ilhas Maldivas
100-200,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
200-300,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
300-400,0.0,0.0,ABC00574,Ilhas Maldivas
400-500,0.0,0.0,ABC00574,Ilhas Maldivas
500-600,0.0,0.0,ABC00574,Ilhas Maldivas
600-700,0.0,0.0,ABC00574,Ilhas Maldivas
700-800,0.0,0.0,ABC00574,Ilhas Maldivas
800-900,0.0,0.0,ABC00574,Ilhas Maldivas
900-1000,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
1000-1100,0.0,0.0,ABC00574,Ilhas Maldivas
1100-1200,0.0,0.0,ABC00574,Ilhas Maldivas
1200-1300,0.0,0.0,ABC00574,Ilhas Maldivas
1300-1400,0.0,0.0,ABC00574,Ilhas Maldivas
1400-1500,0.0,0.0,ABC00574,Ilhas Maldivas
1500-1600,0.0,0.0,ABC00574,Ilhas Maldivas
1600-1700,7.489999999999999,24.704952541723973,ABC00574,Ilhas Maldivas
1700-1800,43.97,145.03027546857186,ABC00574,Ilhas Maldivas
1800-1900,47.56,156.87150105265587,ABC00574,Ilhas Maldivas
