RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,SLM00576,Fernando de Noronha
100-200,0.0,0.0,SLM00576,Fernando de Noronha
200-300,0.0,0.0,SLM00576,Fernando de Noronha
300-400,0.0,0.0,SLM00576,Fernando de Noronha
400-500,0.03,1.1157008925599992,SLM00576,Fernando de Noronha
500-600,0.0,0.0,SLM00576,Fernando de Noronha
600-700,0.0,0.0,SLM00576,Fernando de Noronha
700-800,0.0,0.0,SLM00576,Fernando de Noronha
800-900,0.05,1.8595014875999987,SLM00576,Fernando de Noronha
900-1000,0.0,0.0,SLM00576,Fernando de Noronha
1000-1100,0.0,0.0,SLM00576,Fernando de Noronha
1100-1200,0.0,0.0,SLM00576,Fernando de Noronha
1200-1300,0.0,0.0,SLM00576,Fernando de Noronha
1300-1400,0.0,0.0,SLM00576,Fernando de Noronha
1400-1500,0.03,1.1157008925599992,SLM00576,Fernando de Noronha
1500-1600,0.03,1.1157008925599992,SLM00576,Fernando de Noronha
1600-1700,0.0,0.0,SLM00576,Fernando de Noronha
1700-1800,32.35,1203.097462477199,SLM00576,Fernando de Noronha
1800-1900,67.51,2510.6989085575183,SLM00576,Fernando de Noronha
