Severity,Type,Code,Source,Description,Count,Asset,Site,IsEv,CodeB,Causas,Recomendações,Peso,PesoSev,PesoReal,IC,Status de confiabilidade
Medium,Diagnostic,10--5,Engine,Cylinder #10 Injector:Current Below Normal,1.0,ABA00133,Lewis Hamilton,,,,,,10.0,,,Verde
Medium,Diagnostic,10--5,Engine,Cylinder #10 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",8.0,ABA00223,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,2.657782255942782,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2.0,ABA00247,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",3.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",4.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Medium,Diagnostic,100--3,Engine #3,Engine Oil Pressure Sensor:Voltage Above Normal,1.0,ABB00230,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),100--3,Not Available,Engine Oil Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,2.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABA00133,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
