QNT,L/hr,Site
0.0,0.0,Florianopolis
1.0,61.50858712344591,Florianopolis
2.0,208.28522428331632,Florianopolis
0.0,0.0,Hendrix
1.0,120.44245105686304,Hendrix
2.0,306.92371156273293,Hendrix
3.0,432.15207765674927,Hendrix
0.0,0.0,Ilhas Maldivas
1.0,115.53003652939768,Ilhas Maldivas
2.0,305.90943360807165,Ilhas Maldivas
3.0,475.4346201594632,Ilhas Maldivas
0.0,0.0,Lewis Hamilton
1.0,86.12132002477506,Lewis Hamilton
2.0,209.7657436259936,Lewis Hamilton
3.0,240.6890035865456,Lewis Hamilton
4.0,,Lewis Hamilton
0.0,0.0,Marica
1.0,132.69564380565023,Marica
2.0,269.9303749648653,Marica
0.0,0.0,Martin Miller
1.0,93.33122966420834,Martin Miller
2.0,198.9962583366688,Martin Miller
0.0,0.0,SS Moretti
1.0,130.67370565089362,SS Moretti
2.0,281.7159985087308,SS Moretti
