Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,1.0,22.990018391999985,ABA00133,Lewis Hamilton
10-20%,3.55,81.61456529159994,ABA00133,Lewis Hamilton
20-30%,86.83,1996.2232969773584,ABA00133,Lewis Hamilton
30-40%,2.11,48.50893880711997,ABA00133,Lewis Hamilton
40-50%,5.23,120.2377961901599,ABA00133,Lewis Hamilton
50-60%,1.27,29.197323357839977,ABA00133,Lewis Hamilton
60-70%,0.0,0.0,ABA00133,Lewis Hamilton
70-80%,0.0,0.0,ABA00133,Lewis Hamilton
80-90%,0.0,0.0,ABA00133,Lewis Hamilton
90-100%,0.0,0.0,ABA00133,Lewis Hamilton
100-110%,0.0,0.0,ABA00133,Lewis Hamilton
0-10%,0.0,0.0,ABA00223,Lewis Hamilton
10-20%,20.36,565.1940521548802,ABA00223,Lewis Hamilton
20-30%,43.19,1198.9553591635204,ABA00223,Lewis Hamilton
30-40%,25.65,712.0445696352003,ABA00223,Lewis Hamilton
40-50%,8.21,227.9097823276801,ABA00223,Lewis Hamilton
50-60%,2.47,68.56725485376002,ABA00223,Lewis Hamilton
60-70%,0.11,3.053602442880001,ABA00223,Lewis Hamilton
70-80%,0.0,0.0,ABA00223,Lewis Hamilton
80-90%,0.0,0.0,ABA00223,Lewis Hamilton
90-100%,0.0,0.0,ABA00223,Lewis Hamilton
100-110%,0.0,0.0,ABA00223,Lewis Hamilton
0-10%,3.790000000000001,65.9839527871199,ABA00247,Lewis Hamilton
10-20%,69.69,1213.303870642318,ABA00247,Lewis Hamilton
20-30%,9.14,159.1275273019197,ABA00247,Lewis Hamilton
30-40%,6.41,111.59818927847982,ABA00247,Lewis Hamilton
40-50%,10.08,175.4929403942397,ABA00247,Lewis Hamilton
50-60%,0.7799999999999999,13.579810863839976,ABA00247,Lewis Hamilton
60-70%,0.06,1.044600835679998,ABA00247,Lewis Hamilton
70-80%,0.06,1.044600835679998,ABA00247,Lewis Hamilton
80-90%,0.0,0.0,ABA00247,Lewis Hamilton
90-100%,0.0,0.0,ABA00247,Lewis Hamilton
100-110%,0.0,0.0,ABA00247,Lewis Hamilton
0-10%,0.12,4.710067768051204,ABB00230,Marica
10-20%,0.6,23.55033884025602,ABB00230,Marica
20-30%,8.76,343.834947067738,ABB00230,Marica
30-40%,22.07,866.259963674084,ABB00230,Marica
40-50%,45.58,1789.0407405647825,ABB00230,Marica
50-60%,21.77,854.484794253956,ABB00230,Marica
60-70%,0.99,38.85805908642244,ABB00230,Marica
70-80%,0.12,4.710067768051204,ABB00230,Marica
80-90%,0.0,0.0,ABB00230,Marica
90-100%,0.0,0.0,ABB00230,Marica
100-110%,0.0,0.0,ABB00230,Marica
0-10%,12.839999999999998,6816.849692808723,ABB00231,Martin Miller
10-20%,14.32,7602.592492291351,ABB00231,Martin Miller
20-30%,19.3,10246.510831090996,ABB00231,Martin Miller
30-40%,41.48,22022.034677391424,ABB00231,Martin Miller
40-50%,11.98,6360.269417433687,ABB00231,Martin Miller
50-60%,0.04,21.2362918779088,ABB00231,Martin Miller
60-70%,0.0,0.0,ABB00231,Martin Miller
70-80%,0.04,21.2362918779088,ABB00231,Martin Miller
80-90%,0.0,0.0,ABB00231,Martin Miller
90-100%,0.0,0.0,ABB00231,Martin Miller
100-110%,0.0,0.0,ABB00231,Martin Miller
0-10%,22.95,12848.04451842739,ABB00232,Florianopolis
10-20%,19.13,10709.502903595469,ABB00232,Florianopolis
20-30%,13.26,7423.314610646938,ABB00232,Florianopolis
30-40%,16.78,9393.907931120331,ABB00232,Florianopolis
40-50%,22.11,12377.789294223512,ABB00232,Florianopolis
50-60%,3.75,2099.3536794816,ABB00232,Florianopolis
60-70%,1.47,822.9466423567872,ABB00232,Florianopolis
70-80%,0.1399999999999999,78.37587070064639,ABB00232,Florianopolis
80-90%,0.09,50.38448830755839,ABB00232,Florianopolis
90-100%,0.32,179.14484731576317,ABB00232,Florianopolis
100-110%,0.0,0.0,ABB00232,Florianopolis
0-10%,0.21,2.479625967000004,ABB00233,Marica
10-20%,0.04,0.4723097080000007,ABB00233,Marica
20-30%,61.09,721.3350015430011,ABB00233,Marica
30-40%,33.79,398.9836258330005,ABB00233,Marica
40-50%,4.31,50.89137103700007,ABB00233,Marica
50-60%,0.51,6.021948777000009,ABB00233,Marica
60-70%,0.04,0.4723097080000007,ABB00233,Marica
70-80%,0.0,0.0,ABB00233,Marica
80-90%,0.0,0.0,ABB00233,Marica
90-100%,0.0,0.0,ABB00233,Marica
100-110%,0.0,0.0,ABB00233,Marica
0-10%,8.32,534.2790265339901,ABB00234,Martin Miller
10-20%,8.94,574.0930886074364,ABB00234,Martin Miller
20-30%,35.34,2269.401538186443,ABB00234,Martin Miller
30-40%,42.69,2741.3908224442343,ABB00234,Martin Miller
40-50%,4.35,279.3405968056318,ABB00234,Martin Miller
50-60%,0.19,12.201083538636793,ABB00234,Martin Miller
60-70%,0.04,2.568649166028798,ABB00234,Martin Miller
70-80%,0.04,2.568649166028798,ABB00234,Martin Miller
80-90%,0.0,0.0,ABB00234,Martin Miller
90-100%,0.04,2.568649166028798,ABB00234,Martin Miller
100-110%,0.0,0.0,ABB00234,Martin Miller
0-10%,22.2,1208.819580388224,ABB00235,Florianopolis
10-20%,17.97,978.4904441250624,ABB00235,Florianopolis
20-30%,12.1,658.8611226440321,ABB00235,Florianopolis
30-40%,9.14,497.68517859226887,ABB00235,Florianopolis
40-50%,15.23,829.2937932122818,ABB00235,Florianopolis
50-60%,15.78,859.2420260597377,ABB00235,Florianopolis
60-70%,5.1,277.70179549459203,ABB00235,Florianopolis
70-80%,1.49,81.13248535038082,ABB00235,Florianopolis
80-90%,0.09,4.900619920492801,ABB00235,Florianopolis
90-100%,0.89,48.46168588042881,ABB00235,Florianopolis
100-110%,0.0,0.0,ABB00235,Florianopolis
0-10%,0.37,10.280614446707196,ABB00239,SS Moretti
10-20%,1.85,51.40307223353598,ABB00239,SS Moretti
20-30%,58.120000000000005,1614.8900314665466,ABB00239,SS Moretti
