QNT,%,Site
0.0,19.452651220649976,Florianopolis
1.0,22.5470377857254,Florianopolis
2.0,58.00031099362462,Florianopolis
0.0,0.4415011037527593,Hendrix
1.0,82.43653421633555,Hendrix
2.0,15.79746136865342,Hendrix
3.0,1.3245033112582782,Hendrix
0.0,2.166114790286976,Ilhas Maldivas
1.0,79.74613686534217,Ilhas Maldivas
2.0,17.89459161147903,Ilhas Maldivas
3.0,0.1931567328918322,Ilhas Maldivas
0.0,64.90258394362304,Lewis Hamilton
1.0,25.549260743401963,Lewis Hamilton
2.0,3.786099212380821,Lewis Hamilton
3.0,5.762056100594169,Lewis Hamilton
4.0,0.0,Lewis Hamilton
0.0,30.22388059701492,Marica
1.0,49.657960199004975,Marica
2.0,20.1181592039801,Marica
0.0,49.38923239330418,Martin Miller
1.0,26.02925652239481,Martin Miller
2.0,24.58151108430101,Martin Miller
0.0,62.9742033383915,SS Moretti
1.0,19.244033659815145,SS Moretti
2.0,17.78176300179335,SS Moretti
