Site,Asset,SH_by_Day,SMH_Calc,SMH,Fuel_by_Day,Total_Fuel_Calc,Total_Fuel,Next_Prev,Prev_Date,Next_OVH,OVH_Date,Next_OVH_FC,OVH_FC_Date
Hendrix,ABC00547,17,5025.0,34352.0,2128,642759.0,4135884.0,6000,2022-06-25,7500.0,2022-09-22,1500000.0,2023-06-06
Hendrix,ABC00548,11,3075.0,24542.0,1315,395312.0,3113014.0,6000,2023-01-19,7500.0,2023-06-04,1500000.0,2024-08-15
Hendrix,ABC00546,2,412.0,5291.0,219,65549.0,710434.0,1000,2023-02-14,7500.0,2032-01-08,1500000.0,2040-04-01
Ilhas Maldivas,ABC00576,13,3718.0,28330.0,1614,487515.0,3696321.0,6000,2022-10-22,7500.0,2023-02-14,1500000.0,2024-01-16
Lewis Hamilton,ABA00133,13,2299.0,48225.0,3526834,650260136.0,883712372.0,6000,2022-10-13,7500.0,2023-02-06,3884000.0,2022-01-02
Ilhas Maldivas,ABC00574,2,302.0,9049.0,225,45551.0,1269251.0,1000,2023-03-08,7500.0,2032-01-30,1500000.0,2039-12-05
Marica,ABB00230,13,1703.0,41791.0,483,64252.0,257148.0,2000,2022-05-22,7500.0,2023-07-19,1500000.0,2030-06-19
Martin Miller,ABB00231,193,53089.0,53090.0,971858,268435453.0,268435456.0,6000,2022-05-04,22500.0,2022-07-13,1500000.0,2022-04-29
Marica,ABB00233,16,1180.0,38104.0,468,36458.0,240317.0,2000,2022-06-19,7500.0,2023-05-29,1500000.0,2030-11-20
Ilhas Maldivas,ABC00575,15,4388.0,25879.0,1857,559617.0,3339949.0,6000,2022-08-14,7500.0,2022-11-22,1500000.0,2023-09-17
Lewis Hamilton,ABA00247,10,1741.0,53892.0,1439171,263248385.0,268435456.0,2000,2022-01-26,7500.0,2023-07-30,1942000.0,2022-01-01
Lewis Hamilton,ABA00243,,,,,,,,,,,,
Florianopolis,ABB00235,19,4972.0,57145.0,2967451,795029677.0,1011095203.0,6000,2022-06-21,7500.0,2022-09-08,4380000.0,2022-04-28
Florianopolis,ABB00232,19,4934.0,55981.0,864,229946.0,230063.0,6000,2022-06-23,7500.0,2022-09-10,1500000.0,2026-05-07
SS Moretti,ABB00239,10,2778.0,29234.0,283,85045.0,585930.0,6000,2023-03-17,7500.0,2023-08-14,1500000.0,2036-01-06
SS Moretti,ABB00240,9,1440.0,30674.0,1590415,254598943.0,254598946.0,2000,2022-06-30,7500.0,2024-03-02,1500000.0,2022-04-30
Martin Miller,ABB00234,10,2704.0,53828.0,3330555,918400797.0,918400819.0,6000,2023-03-25,7500.0,2023-08-22,4380000.0,2022-04-29
Lewis Hamilton,ABA00223,16,2775.0,59323.0,519,95859.0,127685833.0,6000,2022-07-22,7500.0,2022-10-24,1942000.0,2031-09-29
