RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABA00133,Lewis Hamilton
100-200,0.0,0.0,ABA00133,Lewis Hamilton
200-300,0.0,0.0,ABA00133,Lewis Hamilton
300-400,0.0,0.0,ABA00133,Lewis Hamilton
400-500,0.0,0.0,ABA00133,Lewis Hamilton
500-600,0.0,0.0,ABA00133,Lewis Hamilton
600-700,0.0,0.0,ABA00133,Lewis Hamilton
700-800,0.0,0.0,ABA00133,Lewis Hamilton
800-900,0.16,3.678402942719998,ABA00133,Lewis Hamilton
900-1000,0.05,1.1495009195999992,ABA00133,Lewis Hamilton
1000-1100,0.0,0.0,ABA00133,Lewis Hamilton
1100-1200,0.0,0.0,ABA00133,Lewis Hamilton
1200-1300,0.0,0.0,ABA00133,Lewis Hamilton
1300-1400,0.0,0.0,ABA00133,Lewis Hamilton
1400-1500,0.0,0.0,ABA00133,Lewis Hamilton
1500-1600,0.0,0.0,ABA00133,Lewis Hamilton
1600-1700,0.05,1.1495009195999992,ABA00133,Lewis Hamilton
1700-1800,46.71,1073.8637590903193,ABA00133,Lewis Hamilton
1800-1900,53.02,1218.9307751438394,ABA00133,Lewis Hamilton
0-100,0.0,0.0,ABA00223,Lewis Hamilton
100-200,0.0,0.0,ABA00223,Lewis Hamilton
200-300,0.0,0.0,ABA00223,Lewis Hamilton
300-400,0.0,0.0,ABA00223,Lewis Hamilton
400-500,0.0,0.0,ABA00223,Lewis Hamilton
500-600,0.0,0.0,ABA00223,Lewis Hamilton
600-700,0.0,0.0,ABA00223,Lewis Hamilton
700-800,0.0,0.0,ABA00223,Lewis Hamilton
800-900,0.0,0.0,ABA00223,Lewis Hamilton
900-1000,0.0,0.0,ABA00223,Lewis Hamilton
1000-1100,0.0,0.0,ABA00223,Lewis Hamilton
1100-1200,0.0,0.0,ABA00223,Lewis Hamilton
1200-1300,0.0,0.0,ABA00223,Lewis Hamilton
1300-1400,0.0,0.0,ABA00223,Lewis Hamilton
1400-1500,0.0,0.0,ABA00223,Lewis Hamilton
1500-1600,0.0,0.0,ABA00223,Lewis Hamilton
1600-1700,0.0,0.0,ABA00223,Lewis Hamilton
1700-1800,48.82,1355.2442841945606,ABA00223,Lewis Hamilton
1800-1900,51.18000000000001,1420.7579366054406,ABA00223,Lewis Hamilton
0-100,0.0,0.0,ABA00247,Lewis Hamilton
100-200,0.06,1.044600835679998,ABA00247,Lewis Hamilton
200-300,0.06,1.044600835679998,ABA00247,Lewis Hamilton
300-400,0.06,1.044600835679998,ABA00247,Lewis Hamilton
400-500,0.0,0.0,ABA00247,Lewis Hamilton
500-600,0.0,0.0,ABA00247,Lewis Hamilton
600-700,0.0,0.0,ABA00247,Lewis Hamilton
700-800,0.0,0.0,ABA00247,Lewis Hamilton
800-900,0.0,0.0,ABA00247,Lewis Hamilton
900-1000,0.0,0.0,ABA00247,Lewis Hamilton
1000-1100,0.0,0.0,ABA00247,Lewis Hamilton
1100-1200,0.06,1.044600835679998,ABA00247,Lewis Hamilton
1200-1300,0.0,0.0,ABA00247,Lewis Hamilton
1300-1400,0.0,0.0,ABA00247,Lewis Hamilton
1400-1500,0.06,1.044600835679998,ABA00247,Lewis Hamilton
1500-1600,0.0,0.0,ABA00247,Lewis Hamilton
1600-1700,0.06,1.044600835679998,ABA00247,Lewis Hamilton
1700-1800,41.56,723.5601788476789,ABA00247,Lewis Hamilton
1800-1900,58.10999999999999,1011.6959093560782,ABA00247,Lewis Hamilton
0-100,0.0,0.0,ABB00230,Marica
100-200,0.0,0.0,ABB00230,Marica
200-300,0.0,0.0,ABB00230,Marica
300-400,0.0,0.0,ABB00230,Marica
400-500,0.0,0.0,ABB00230,Marica
500-600,0.15,5.887584710064005,ABB00230,Marica
600-700,1.82,71.43602781544328,ABB00230,Marica
700-800,0.09,3.532550826038403,ABB00230,Marica
800-900,0.03,1.177516942012801,ABB00230,Marica
900-1000,0.06,2.355033884025602,ABB00230,Marica
1000-1100,0.0,0.0,ABB00230,Marica
1100-1200,0.03,1.177516942012801,ABB00230,Marica
1200-1300,0.0,0.0,ABB00230,Marica
1300-1400,0.0,0.0,ABB00230,Marica
1400-1500,0.03,1.177516942012801,ABB00230,Marica
1500-1600,0.03,1.177516942012801,ABB00230,Marica
1600-1700,0.0,0.0,ABB00230,Marica
1700-1800,67.45,2647.4505912921145,ABB00230,Marica
1800-1900,30.320000000000004,1190.0771227276043,ABB00230,Marica
0-100,0.0,0.0,ABB00231,Martin Miller
100-200,0.04,21.2362918779088,ABB00231,Martin Miller
200-300,0.0,0.0,ABB00231,Martin Miller
300-400,0.0,0.0,ABB00231,Martin Miller
400-500,0.0,0.0,ABB00231,Martin Miller
500-600,0.19,100.87238642006682,ABB00231,Martin Miller
600-700,2.29,1215.7777100102787,ABB00231,Martin Miller
700-800,1.35,716.724850879422,ABB00231,Martin Miller
800-900,6.08,3227.916365442138,ABB00231,Martin Miller
900-1000,7.5,3981.8047271079,ABB00231,Martin Miller
1000-1100,4.84,2569.5913172269647,ABB00231,Martin Miller
1100-1200,9.98,5298.454823538246,ABB00231,Martin Miller
1200-1300,2.85,1513.085796301002,ABB00231,Martin Miller
1300-1400,0.15,79.63609454215799,ABB00231,Martin Miller
1400-1500,0.04,21.2362918779088,ABB00231,Martin Miller
1500-1600,0.04,21.2362918779088,ABB00231,Martin Miller
1600-1700,0.0,0.0,ABB00231,Martin Miller
1700-1800,37.0,19643.56998706564,ABB00231,Martin Miller
1800-1900,27.65,14679.58676060446,ABB00231,Martin Miller
0-100,0.0,0.0,ABB00232,Florianopolis
100-200,0.0,0.0,ABB00232,Florianopolis
200-300,0.0,0.0,ABB00232,Florianopolis
300-400,0.0,0.0,ABB00232,Florianopolis
400-500,0.02,11.196552957235198,ABB00232,Florianopolis
500-600,0.18,100.76897661511678,ABB00232,Florianopolis
600-700,7.049999999999999,3946.784917425408,ABB00232,Florianopolis
700-800,2.0500000000000003,1147.6466781166082,ABB00232,Florianopolis
800-900,13.81,7731.219816970905,ABB00232,Florianopolis
900-1000,18.74,10491.170120929384,ABB00232,Florianopolis
1000-1100,12.14,6796.307645041766,ABB00232,Florianopolis
1100-1200,5.26,2944.693427752857,ABB00232,Florianopolis
