Código,Descrição,Tradução,Causas,Recomendações,Consequências,Peso,Causes,Recomendações EN
01--05,Cylinder #1 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
02--05,Cylinder #2 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
03--05,Cylinder #3 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
04--05,Cylinder #4 Injector:Current Below Normal,Injetor #4 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
04--11,Cylinder #4 Injector:Other Failure Mode,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
06--05,Cylinder #6 Injector:Current Below Normal,Cilindro #6 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit"
08--05,Cylinder #8 Injector:Current Below Normal,Injetor #8 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
09--06,Cylinder #9 Injector:Current Above Normal,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
10--02,"Cylinder #10 Injector:Erratic, Intermittent, or Incorrect","Cilindro #10 injetor: Errado, Intermitente, Incorreto",Instabilidade no sinal do bico injetor #10.,Monitorar o sinal do bico injetor recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal e sua calibração,,1.0,Instability on the nozzle sign # 10.,Monitor the nozzle signal received by the engine ECM through Cat ET. Check the signal stability and its calibration
10--05,Cylinder #10 Injector: Current Below Normal,Injetor #10 - Corrente abaixo do normal - Circuito Aberto,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
11--05,Cylinder #11 Injector:Current Below Normal,Cilindro #11 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit"
11--06,Cylinder #11 Injector:Current Above Normal,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
12--05,Cylinder #12 Injector:Current Below Normal,Cilindro #12 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
0--9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,,0.0,"Main ECM communication failure with other engine devices. Motor control module (ECM) defective, defective whip.",Checking the motor control module and checking the whips and connectors that interconnect the motor sensors with the ECM.
100--1,Engine Oil Pressure:Low - most severe (3),,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
100--11,Engine Oil Pressure:Other Failure Mode,,Falha desconhecida.,Existe condição de falha ativa desconhecida. O sintoma deve ser investigado localmente.,,1.0,Unknown failure.,There is unknown active failure condition. The symptom should be investigated locally.
100--17,Engine Oil Pressure:Low - least severe (1),,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
100--2,"Oil Pressure Sensor: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
100--3,Lube Oil Pressure Sensor: Voltagem Above Normal,Sensor de Pressão Óleo Lubrificante - Voltagem acima do normal,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
100--4,Engine Oil Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
101--0,Engine Crankcase Pressure:High - most severe (3),,Respiro do cárter bloqueado/coagulado. Desgaste excessivo dos componentes do motor.,"Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",,1.0,Crankcase blocked or coagulated. Excessive wear of the engine components.,Crankcase blocked or coagulated. Excessive wear of the engine components.
101--3,Crankcase Air Pressure Sensor: Voltage Above Normal,Sensor de Pressão de Ar do Cárter: Voltagem Acima do Normal,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
101--4,Crankcase Air Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
102--3,Engine Intake Manifold #1 Pressure:Voltage Above Normal,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
105--3,Inlet Manifold Temperature Sensor:Voltage Above Normal,Sensor de temperatura do coletor de admissão: tensão acima do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
105--4,Inlet Manifold Temperature Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
107--15,Engine Air Filter 1 Differential Pressure:High - least severe (1),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,,1.0,Blocked / clogged air filter.,Checking the air filter and engine intake pipes.
107--16,Engine Air Filter 1 Differential Pressure:High - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,,1.0,Blocked / clogged air filter.,Checking the air filter and engine intake pipes.
107--17,Engine Air Filter 1 Differential Pressure:High - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,,1.0,Blocked / clogged air filter.,Checking the air filter and engine intake pipes.
107--18,Engine Air Filter 1 Differential Pressure:Low - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,,1.0,Blocked / clogged air filter.,Checking the air filter and engine intake pipes.
108--3,Barometric Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1086--9,Oxygen Sensor Element:Abnormal Update Rate,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1087--8,"Oxygen Sensor Buffer Module:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
109--3,Engine Coolant Outlet Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
110--0,Engine Coolant Temperature:High - most severe (3),,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,1.0,"Level of cooling fluid, fluid quality, air in cooling system, thermostatic valve, jacket water pump, aftercooler.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
110--15,Engine Coolant Temperature:High - least severe (1),,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,1.0,"Level of cooling fluid, fluid quality, air in cooling system, thermostatic valve, jacket water pump, aftercooler.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
110--17,Engine Coolant Temperature:Low - least severe (1),,Operação em fatores de carga altos com baixa temperatura do sistema de arrefecimento. Aumento brusco do fator de carga no motor com temperatura baixa de arrefecimento.,"Operação em fatores de carga muito baixos, Antes de assumir cargas altas, o motor deve ser preaquecido até a temperatura de trabalho; Utilização de aquecedor de água de jaqueta.",,1.0,Operation in high load factors with low temperature of the cooling system. Brusque increase of the load factor in the engine with low cooling temperature.,"Operation in very low load factors, before assuming high loads, the engine must be preheated until the working temperature; Use of jacket water heater."
110--3,Engine Coolant Temperature:Voltage Above Normal,Sensor de temperatura de arrefecimento: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
110--4,Engine Coolant Temperature Sensor:Voltage Below Normal,Sensor de temperatura de arrefecimento: Voltagem baixa,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
